  01/01/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  02/01/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  04/01/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  04/01/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/01/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  07/01/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  08/01/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  09/01/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  10/01/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  11/01/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  12/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  13/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  14/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  15/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  16/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  17/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  18/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  19/01/1893	        NA	        NA	      37.8	    -122.3	             sauslito cal	                sausalito	
  20/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  21/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  22/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  23/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  24/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  25/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  26/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  27/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  28/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  29/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  30/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  31/01/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  01/02/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  02/02/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  03/02/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  04/02/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  05/02/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  06/02/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  07/02/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  10/02/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  11/02/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  14/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  15/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  16/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  17/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  18/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  19/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  20/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  21/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  22/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  23/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  24/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  25/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  26/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  27/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  28/02/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  01/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  02/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  03/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  04/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  05/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  06/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  07/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  08/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  09/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  10/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  11/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  12/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  14/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  14/03/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  15/03/1893	        NA	        NA	      37.8	    -122.4	hunters point dry dock san francisco cal	        san francisco bay	
  16/03/1893	        NA	        NA	      37.8	    -122.4	hunters point dry dock san francisco cal	        san francisco bay	
  17/03/1893	        NA	        NA	      37.8	    -122.4	hunters point dry dock san francisco cal	        san francisco bay	
  18/03/1893	        NA	        NA	      37.8	    -122.4	hunters point dry dock san francisco cal	        san francisco bay	
  19/03/1893	        NA	        NA	      37.8	    -122.4	hunters point dry dock san francisco cal	        san francisco bay	
  20/03/1893	        NA	        NA	      37.8	    -122.4	hunters point dry dock san francisco cal	        san francisco bay	
  21/03/1893	        NA	        NA	      37.8	    -122.4	hunters point dry dock san francisco cal	        san francisco bay	
  22/03/1893	        NA	        NA	      37.8	    -122.4	humbers point dry dock san francisco cal	        san francisco bay	
  23/03/1893	        NA	        NA	      37.8	    -122.4	hunters point dry dock san francisco cal	        san francisco bay	
  24/03/1893	        NA	        NA	      37.8	    -122.4	hunters point dry dock san francisco cal	        san francisco bay	
  25/03/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  26/03/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  27/03/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  28/03/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  29/03/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  30/03/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  31/03/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  01/04/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  02/04/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  03/04/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  04/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  05/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  06/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  07/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  08/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  09/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  10/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  11/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  12/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  13/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  14/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  15/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  16/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  17/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  18/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  19/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  20/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  21/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  22/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  23/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  24/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  25/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  26/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  27/04/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  28/04/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  29/04/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  30/04/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  01/05/1893	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  01/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  14/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  15/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  16/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  17/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  18/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  19/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  20/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  21/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  22/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  23/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  24/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  25/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  26/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  27/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  28/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  29/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  30/11/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  01/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  02/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  03/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  04/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  05/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  06/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  07/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  08/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  09/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  10/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  11/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  12/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  13/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  14/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
