  01/01/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  01/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/01/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  02/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  03/01/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  03/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/01/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  04/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/01/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  05/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/01/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  06/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/01/1935	   33 44 N	  119 38 W	      33.8	    -118.2	    long beach california	               long beach	
  07/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/01/1935	     33 48	  119 45 W	      32.0	     120.4	at anchor bechers bay santa rosa island california	              rose island	
  08/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/01/1935	     33 55	  119 44 W	      -8.7	       3.4	      santa cruz id calif	                    lagos	
  09/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/01/1935	   33 51 N	  119 39 W	      -8.7	       3.4	      santa cruz id calif	                    lagos	
  10/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/01/1935	   33 43 N	  119 39 W	       6.5	       3.4	at anchor alamos anchorage santa cruz id calif	                    lagos	
  11/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/01/1935	     33 55	  119 44 W	       6.5	       3.4	at anchor alamos anchorages	                    lagos	
  12/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/01/1935	   33 40 N	  119 37 W	      -8.7	       3.4	at anchor alamos anchorage south side santa cruz	                    lagos	
  13/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/01/1935	   33 48 N	  119 41 W	      -8.7	       3.4	at anchor alamos anchorage south side santa cruz id calif	                    lagos	
  14/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/01/1935	     33 42	  119 30 W	      -8.7	     115.2	      santa cruz id calif	                     bone	
  15/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  16/01/1935	   33 51 N	  118 38 W	      43.7	     116.2	at anchorage off se end of san micholas island california coast	                     nice	
  16/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/01/1935	   33 50 N	  119 39 W	      -8.7	     -28.6	at anchor valley anchorage santa cruz island california	                     bali	
  17/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/01/1935	     33 50	  119 38 W	      -8.7	     -28.6	at anchor valley anchorage santa cruz island california	                     bali	
  18/01/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/01/1935	   33 57 N	  119 45 W	      -8.7	     115.2	      santa cruz id calif	                     bali	
