    1/1/1887,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
    1/1/1887,,,,,,,,,
    1/1/1887,,,,,,,,,
    1/1/1887,,,,,,,,,
    1/1/1887,,,,,,,,,
    1/1/1887,,,,,,,,,
    1/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,38 52 24N,76 59 49W
  01/01/1887,,,,,,,,,
  01/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  02/01/1887,,,,,,,,,
  02/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  03/01/1887,,,,,,,,,
  03/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  04/01/1887,,,,,,,,,
  04/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  05/01/1887,,,,,,,,,
  05/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  06/01/1887,,,,,,,,,
  06/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  07/01/1887,,,,,,,,,
  07/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  08/01/1887,,,,,,,,,
  08/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  09/01/1887,,,,,,,,,
  09/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   10/1/1887,,,,,,,,,
   10/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   11/1/1887,,,,,,,,,
   11/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   12/1/1887,,,,,,,,,
   12/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   13/1/1887,,,,,,,,,
   13/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   14/1/1887,,,,,,,,,
   14/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   15/1/1887,,,,,,,,,
   15/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   16/1/1887,,,,,,,,,
   16/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   17/1/1887,,,,,,,,,
   17/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   18/1/1887,,,,,,,,,
   18/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   19/1/1887,,,,,,,,,
   19/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   20/1/1887,,,,,,,,,
   20/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   21/1/1887,,,,,,,,,
   21/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   22/1/1887,,,,,,,,,
   22/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   23/1/1887,,,,,,,,,
   23/1/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  24/01/1887,,,,,,,,,
  24/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  25/01/1887,,,,,,,,,
  25/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  26/01/1887,,,,,,,,,
  26/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  27/01/1887,,,,,,,,,
  27/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  28/01/1887,,,,,,,,,
  28/01/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  29/01/1887,,,,,,,,,
