  01/01/1888,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/01/1888,   30 38 S,   49 22 W,,,                   at sea,,,,
  02/01/1888,,,,,,,,,
  02/01/1888,   33 18 S,   52 19 W,,,                   at sea,,,,
  03/01/1888,,,39.6,2.6,            palonio light,                    palma,cabo polonio,34 23 51S,2017-11-28T00:00:00
  03/01/1888,   35 03 S,   55 23 W,-34.9,-56.2,at sea  montevideo urugay,              monte video,montevideo,34 53 1S,2018-07-24T00:00:00
  04/01/1888,,,,,,,,,
  04/01/1888,,,-34.9,-56.2,       montevideo uruguay,              monte video,montevideo,,
  05/01/1888,,,,,,,,,
  05/01/1888,,,-34.9,-56.2,      monte video uruguay,              monte video,montevideo,,
  06/01/1888,,,,,,,,,
  06/01/1888,,,-34.9,-56.2,      monte video uruguay,              monte video,montevideo,,
  07/01/1888,,,,,,,,,
  07/01/1888,,,-34.9,-56.2,      monte video uruguay,              monte video,montevideo,,
  08/01/1888,,,,,,,,,
  08/01/1888,,,-34.9,-56.2,      monte video uruguay,              monte video,montevideo,,
  09/01/1888,,,,,,,,,
  09/01/1888,,,-34.9,-56.2,      monte video uruguay,              monte video,montevideo,,
  10/01/1888,,,,,,,,,
  10/01/1888,,,-34.9,-56.2,montevideo uruguay  at sea,              monte video,montevideo,,
  11/01/1888,,,,,,,,,
  11/01/1888,   37 11 S,   56 30 W,,,                   at sea,,,,
   12/1/1888,,,,,,,,,
   12/1/1888,   40 00 S,   58 53 W,,,                   at sea,,,,
  13/01/1888,,,,,,,,,
  13/01/1888,   42 27 S,   61 37 W,,,                   at sea,,,,
  14/01/1888,,,,,,,,,
  14/01/1888,   45 22 S,   64 20 W,,,                   at sea,,,,
  15/01/1888,,,,,,,,,
  15/01/1888,   48 37 S,   65 54 W,,,                   at sea,,,,
  16/01/1888,,,,,,,,,
  16/01/1888,   51 42 S,   68 00 W,69.8,176.2, at sea  magellan straits,              long strait,argentine sea,46S,2018-09-18T00:00:00
   17/1/1888,,,,,,,,,
   17/1/1888,   52 41 S,   69 55 W,69.8,176.2,         magellan straits,              long strait,strait of magellan,53 28 51S,2017-07-04T00:00:00
  18/01/1888,,,,,,,,,
  18/01/1888,   52 38 S,   70 10 W,69.8,176.2,         magellan straits,              long strait,strait of magellan,,
  19/01/1888,,,,,,,,,
  19/01/1888,   52 52 S,   70 38 W,69.8,176.2,         magellan straits,              long strait,strait of magellan,,
  20/01/1888,,,,,,,,,
  20/01/1888,,,69.8,176.2,         magellan straits,              long strait,strait of magellan,,
  21/01/1888,,,,,,,,,
  21/01/1888,,,69.8,176.2,         magellan straits,              long strait,strait of magellan,,
   22/1/1888,,,,,,,,,
   22/1/1888,,,69.8,176.2,         magellan straits,              long strait,strait of magellan,,
   23/1/1888,,,,,,,,,
   23/1/1888,,,69.8,176.2,sandy point magellan straits,              long strait,punta arenas,53 10S,2018-07-31T00:00:00
   24/1/1888,,,,,,,,,
   24/1/1888,,,69.8,176.2,sandy point magellan straits,              long strait,punta arenas,,
  25/01/1888,,,,,,,,,
  25/01/1888,,,69.8,176.2,sandy point magellan straits,              long strait,punta arenas,,
  26/01/1888,,,30,48.5,               famine bay,                      fao,puerto del hambre,53 36 40S,2018-04-10T00:00:00
  26/01/1888,,,69.8,176.2,sandy point magellan straits,              long strait,punta arenas,,
  27/01/1888,,,,,,,,,
  27/01/1888,,,69.8,176.2,sandy point magellan straits,              long strait,punta arenas,,
  28/01/1888,,,,,,,,,
  28/01/1888,,,69.8,176.2,sandy point magellan straits,              long strait,punta arenas,,
   29/1/1888,,,,,,,,,
   29/1/1888,,,69.8,176.2,sandy point magellan straits,              long strait,punta arenas,,
  30/01/1888,,,,,,,,,
  30/01/1888,,,69.8,176.2,sandy point magellan straits,              long strait,punta arenas,,
   31/1/1888,,,,,,,,,
   31/1/1888,   53 43 S,   72 04 W,69.8,176.2,sandy point  borja bay magellan straits,                     poti,strait of magellan,,
  01/02/1888,,,,,,,,,
  01/02/1888,,,69.8,176.2,borja bay  port churruca magellan straits,              long strait,desolacion island,53.10S,2018-12-03T00:00:00
  02/02/1888,,,,,,,,,
  02/02/1888,   53 04 S,   73 56 W,29.9,32.6,            port churruca,                  tor bay,santa ines island,53 45S,2018-05-15T00:00:00
  03/02/1888,,,,,,,,,
  03/02/1888,   52 23 S,   73 39 W,47.7,-52.7,  otter bay  mayne harbor,                  tor bay,desolacion island,,
  04/02/1888,,,,,,,,,
