  05/05/1886,        NA,        NA_2,37.8,-122.4,            san francisco,            san francisco_2,h,i,j
  05/05/1886,,,,,,,,,
  01/05/1886,,,,,,,,,
  01/05/1886,,,,,,,,,
  01/05/1886,,,,,,,,,
  01/05/1886,,,,,,,,,
  01/05/1886,,,,,,,,,
  01/05/1886,,,,,,,,,
  01/05/1886,,,,,,,,,
  01/05/1886,,,,,,,,,
  05/05/1886,,    122 56,37.8,-122.4,            san francisco,            san francisco,,,
  05/05/1886,,,37.8,-122.4,            san francisco,            san francisco,,,
  06/05/1886,   39 04 N,  125 46 W,,,,,,,
  06/05/1886,,,,,,,,,
  07/05/1886,   40 33 N,  129 50 W,,,,,,,
  07/05/1886,,,,,,,,,
  07/05/1886,   42 20 N,  131 49 W,,,,,,,
  08/05/1886,,,,,,,,,
  09/05/1886,   43 48 N,  134 16 W,,,,,,,
  09/05/1886,,,,,,,,,
  10/05/1886,   45 03 N,  138 01 W,,,,,,,
  10/05/1886,,,,,,,,,
  11/05/1886,   46 18 N,  141 45 W,,,,,,,
  11/05/1886,,,,,,,,,
  12/05/1886,,  145 08 W,,,,,,,
  12/05/1886,,,,,,,,,
  13/05/1886,   49 53 N,  148 44 W,,,,,,,
  13/05/1886,,,,,,,,,
  14/05/1886,   50 57 N,  151 04 W,,,,,,,
  14/05/1886,,,,,,,,,
  15/05/1886,   51 57 N,  157 12 W,,,,,,,
  15/05/1886,,,,,,,,,
  16/05/1886,   52 44 N,  161 16 W,,,,,,,
  16/05/1886,,,,,,,,,
  17/05/1886,   53 51 N,  165 45 W,,,,,,,
  17/05/1886,,,,,,,,,
  18/05/1886,,,,,,,,,
  18/05/1886,,,,,                ounalaska,,,,
  19/05/1886,,,,,,,,,
  19/05/1886,,,,,                ounalaska,,,,
  20/05/1886,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  20/05/1886,,,,,                ounalaska,,,,
  21/05/1886,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  21/05/1886,,,,,                ounalaska,,,,
  22/05/1886,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  22/05/1886,,,,,,,,,
  23/05/1886,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  23/05/1886,,,53.9,-166.5,         ounalaska alaska,             unalaska bay,,,
  24/05/1886,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  24/05/1886,,,53.9,-166.5,         ounalaska alaska,             unalaska bay,,,
  25/05/1886,   54 01 N,  167 13 W,,,,,,,
  25/05/1886,,,53.9,-166.5,         ounalaska alaska,             unalaska bay,,,
  26/05/1886,   56 48 N,  169 50 W,,,,,,,
  26/05/1886,,,,,,,,,
  27/05/1886,,,,,,,,,
  27/05/1886,,,,,,,,,
  28/05/1886,,,,,,,,,
  28/05/1886,,,57.1,-170.3,            st pauls isld,                  st paul,,,
  29/05/1886,,,,,,,,,
  29/05/1886,,,57.1,-170.3,            st pauls isld,                  st paul,,,
  30/05/1886,,,,,,,,,
  30/05/1886,,,57.1,-170.3,           st paul island,           st paul island,,,
  31/05/1886,   57 36 N,  170 35 W,,,,,,,
  31/05/1886,,,57.1,-170.3,           st paul island,           st paul island,,,
  01/06/1886,   59 46 N,  171 55 W,,,,,,,
  01/06/1886,,,55,166.3,               bering sea,                  behring,,,
  02/06/1886,   60 27 N,  174 00 W,,,,,,,
  02/06/1886,,,55,166.3,              behring sea,                  behring,,,
  03/06/1886,   61 58 N,  174 53 W,,,,,,,
  03/06/1886,,,55,166.3,              behring sea,                  behring,,,
  04/06/1886,   61 29 N,  176 08 W,,,,,,,
  04/06/1886,,,55,166.3,              behring sea,                  behring,,,
  05/06/1886,   62 22 N,  177 19 W,,,,,,,
  05/06/1886,,,55,166.3,              behring sea,                  behring,,,
  06/06/1886,   63 06 N,  178 18 W,,,,,,,
  06/06/1886,,,,,,,,,
  07/06/1886,   63 47 N,  178 20 W,,,,,,,
  07/06/1886,,,55,166.3,              behring sea,                  behring,,,
  08/06/1886,   64 24 N,  177 27 W,,,,,,,
  08/06/1886,,,55,166.3,              behring sea,                  behring,,,
  09/06/1886,   64 15 N,  175 58 W,,,,,,,
  09/06/1886,,,55,166.3,              behring sea,                  behring,,,
  10/06/1886,   64 01 N,  175 49 W,,,,,,,
  10/06/1886,,,55,166.3,              behring sea,                  behring,,,
  11/06/1886,   64 01 N,  175 49 W,,,,,,,
  11/06/1886,,,55,166.3,              behring sea,                  behring,,,
  12/06/1886,   64 00 N,  174 42 W,,,,,,,
  12/06/1886,,,55,166.3,              behring sea,                  behring,,,
  13/06/1886,   63 53 N,  174 36 W,,,,,,,
  13/06/1886,,,55,166.3,              behring sea,                  behring,,,
  14/06/1886,,  172 18 W,,,,,,,
  14/06/1886,,,55,-1.1,              behring sea,                    chapa,cape chaplino,64.4048N,0004-04-20
  15/06/1886,,,,,,,,,
  15/06/1886,,,64.4,-172.2,          at cape chaplin,             cape chaplin,,,
  16/06/1886,   64 36 N,  171 47 W,,,,,,,
  16/06/1886,,,64.4,-172.2,         off cape chaplin,             cape chaplin,,,
  17/06/1886,,,,,,,,,
  17/06/1886,,,69.8,176.2,          behring straits,              long strait,bering strait,66 0N,0001-01-01
  18/06/1886,   66 03 N,  169 44 W,,,,,,,
  18/06/1886,,,63.1,-168.9,        east cape siberia,                east cape,cape dezhnev,66 4 45N,0001-02-19
  19/06/1886,   64 50 N,  167 14 W,,,,,,,
  19/06/1886,,,53.4,-3,off cape prince of whales,                   whalen,cape prince of wales,65 38 24N,0001-03-26
  20/06/1886,,,63.5,-162, st michael bearing south,               st michael,,,
  20/06/1886,,,55,166.3,              behring sea,                  behring,norton sound,63 50 57N,0001-02-26
  21/06/1886,   64 04 N,  164 52 W,,,,,,,
  21/06/1886,,,,,             norton sound,,,,
  22/06/1886,   63 03 N,  168 53 W,,,             pinnook rock,,,,
  22/06/1886,,,55,166.3,                  se cape,                     nice,norton sound,,
  23/06/1886,   61 27 N,  168 34 W,,,,,,,
  23/06/1886,,,,,,,,,
  24/06/1886,   59 57 N,  166 42 W,,,,,,,
  24/06/1886,,,55,166.3,              behring sea,                  behring,,,
  25/06/1886,   59 56 N,  165 47 W,,,,,,,
  25/06/1886,,,63.1,-168.9,   east cape nunivak isld,                east cape,nunivak island,60 05 42N,0001-10-08
  26/06/1886,   60 04 N,  168 39 W,,,,,,,
  26/06/1886,,,55,166.3,              behring sea,                  behring,,,
  27/06/1886,   60 10 N,  173 11 W,,,,,,,
  27/06/1886,,,55,166.3,              behring sea,                  behring,,,
  28/06/1886,   60 27 N,  173 42 W,,,,,,,
  28/06/1886,,,55,166.3,              behring sea,                  behring,,,
  29/06/1886,,,,,,,,,
  29/06/1886,,,55,166.3,              behring sea,                  behring,,,
  30/06/1886,,,,,,,,,
  30/06/1886,,,,,               halls isld,,hall island,60 39 50N,0001-11-19
  01/07/1886,   61 00 N,  172 24 W,,,,,,,
  01/07/1886,,,,,               halls isld,,,,
  02/07/1886,   63 47 N,  171 36 W,,,,,,,
  02/07/1886,,,55,166.3,              behring sea,                  behring,,,
  03/07/1886,   63 36 N,  168 23 W,,,,,,,
  03/07/1886,,,55,166.3,              behring sea,                  behring,,,
  04/07/1886,   63 52 N,  162 40 W,,,,,,,
  04/07/1886,,,,,             norton sound,,,,
  05/07/1886,,,,,             norton sound,,,,
  05/07/1886,,,63.5,-162,       st michaels alaska,               st michael,,,
  06/07/1886,,,,,,,,,
  06/07/1886,,,63.5,-162,              st michaels,               st michael,,,
  07/07/1886,     64 00,,,,        cape derby wnw 25,,norton sound,,
  07/07/1886,,,22.4,114.2,             golovnin bay,                     tolo,golovnin bay,64.41556N,0004-02-15
  08/07/1886,   64 19 N,  163 25 W,,,,,,,
  08/07/1886,,,22.4,114.2,             golovnin bay,                     tolo,golovnin bay,,
  09/07/1886,   64 11 N,  164 42 W,,,,,,,
  09/07/1886,,,,,,,,,
  10/07/1886,   64 57 N,  167 05 W,,,,,,,
  10/07/1886,,,65.2,166.3,            port clarence,           port clearance,,,
  11/07/1886,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  11/07/1886,,,65.2,-166.7,            port clarence,           port clearance,,,
  12/07/1886,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  12/07/1886,,,65.2,-166.7,            port clarence,           port clearance,,,
  13/07/1886,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  13/07/1886,,,65.2,-166.7,            port clarence,           port clearance,,,
  14/07/1886,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  14/07/1886,,,65.2,-166.7,            port clarence,           port clearance,,,
  15/07/1886,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  15/07/1886,,,65.2,-166.7,            port clarence,           port clearance,,,
  16/07/1886,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  16/07/1886,,,65.2,-166.7,            port clarence,           port clearance,,,
  17/07/1886,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  17/07/1886,,,65.2,-166.7,            port clarence,           port clearance,,,
  18/07/1886,   66 46 N,  166 02 W,,,,,,,
  18/07/1886,,,69.8,176.2,          behring straits,              long strait,sarichef island,66 14 41N,0001-06-25
  19/07/1886,   66 56 N,  162 55 W,,,,,,,
  19/07/1886,,,66.5,-162.8,           kotzebue sound,           kotzebue sound,,,
  20/07/1886,,,,,,,,,
  20/07/1886,,,22.5,69.1,         off hotham inlet,                     okha,hotham inlet,66 49 11N,0002-01-14
  21/07/1886,,  162 38 W,,,,,,,
  21/07/1886,,,66.5,-162.8,           kotzebue sound,           kotzebue sound,,,
  22/07/1886,,,66.5,-162.8,           kotzebue sound,           kotzebue sound,,,
  22/07/1886,,,66.5,-162.8,           kotzebue sound,           kotzebue sound,,,
  23/07/1886,,,66.5,-162.8,           kotzebue sound,           kotzebue sound,,,
  23/07/1886,,,66.5,-162.8,           kotzebue sound,           kotzebue sound,,,
  24/07/1886,   67 22 N,  163 35 W,,,,,,,
  24/07/1886,,,,,         cape krusenstern,,,,
  25/07/1886,   65 06 N,  164 38 W,,,,,,,
  25/07/1886,,,,,            cape thompson,,,,
  26/07/1886,,,68.3,-166.8,               point hope,               point hope,,,
  26/07/1886,,,,,            cape thompson,,,,
  27/07/1886,   68 53 N,  165 44 W,,,,,,,
  27/07/1886,,,68.3,-166.8,  point hope arctic ocean,               point hope,,,
  28/07/1886,,,68.3,-166.8,               point hope,               point hope,,,
  28/07/1886,,,68.9,-165.1,        off the coal vein,                coal vein,,,
  29/07/1886,,,68.9,-165.1,        off the coal vein,                coal vein,,,
  29/07/1886,,,68.9,178,     coal vein c lisburne,                coal vein,cape lisburne,68 52 52N,0001-09-10
  30/07/1886,   68 22 N,  163 24 W,,,,,,,
  30/07/1886,,,68.9,178,     coal vein c lisburne,                coal vein,cape lisburne,,
  31/07/1886,   70 05 N,  162 18 W,,,,,,,
  31/07/1886,,,55,-1.5,  off pt lay arctic ocean,                      tic,point lay,69 44 28N,0001-08-06
  01/08/1886,   70 03 N,,,,,,,,
  01/08/1886,,,70.3,-161.9,   at anchor ice cape n22,                 icy cape,,,
  02/08/1886,,,,,,,,,
  02/08/1886,,,70.3,-161.9,   at anchor ice cape n22,                 icy cape,,,
  03/08/1886,,,,,,,,,
  03/08/1886,,,70.3,-161.9,   at anchor icy cape n22,                 icy cape,,,
  04/08/1886,,,,,,,,,
  04/08/1886,,,70.3,-161.9,   at anchor icy cape n22,                 icy cape,,,
  05/08/1886,   70 04 N,,,,,,,,
  05/08/1886,,,70.3,-161.9,   at anchor icy cape n22,                 icy cape,,,
  06/08/1886,,,,,,,,,
  06/08/1886,,,70.3,-161.9,   at anchor icy cape n22,                 icy cape,,,
  07/08/1886,,,,,,,,,
  07/08/1886,,,70.3,-161.9,   at anchor icy cape n22,                 icy cape,,,
  08/08/1886,,,,,,,,,
  08/08/1886,,,70.3,-161.9,   at anchor icy cape n22,                 icy cape,,,
  09/08/1886,,,,,,,,,
  09/08/1886,,,70.3,-161.9,   at anchor icy cape n22,                 icy cape,,,
  10/08/1886,   70 17 N,  162 28 W,,,,,,,
