  05/04/1891,        NA,        NA_2,47.6,-122.3,       seattle washington,                  seattle,h,i,j
  05/04/1891,,,22.6,59.5,   strait of juan de fuca,                      sur,strait of juan de fuca,48 12 00N,2017-12-05T01:23:00
  06/04/1891,,,47.6,-122.3,       seattle washington,                  seattle,,,
  06/04/1891,,,47.6,-122.3,       seattle washington,                  seattle,,,
  07/04/1891,,,47.6,-122.3,       seattle washington,                  seattle,,,
  07/04/1891,,,47.6,-122.3,       seattle washington,                  seattle,,,
  08/04/1891,,,47.6,-122.3,       seattle washington,                  seattle,,,
  08/04/1891,,,47.6,-122.3,       seattle washington,                  seattle,,,
  09/04/1891,,,47.6,-122.3,       seattle washington,                  seattle,,,
  09/04/1891,,,47.6,-122.3,       seattle washington,                  seattle,,,
  10/04/1891,,,38.1,-122.3, race island  nnw 4 miles,              mare island,queen charlotte strait,50 53 50N,2017-09-19T01:27:00
  10/04/1891,,,47.6,-122.3,       seattle washington,                  seattle,,,
  11/04/1891,   49 24 N,  127 22 W,,,,,,,
  11/04/1891,,,,,                   at sea,,,,
  12/04/1891,   51 32 N,  131 26 W,,,,,,,
  12/04/1891,,,,,                   at sea,,,,
  13/04/1891,   54 04 N,  133 35 W,,,,,,,
  13/04/1891,,,,,                   at sea,,,,
  14/04/1891,,,57,-135.4,      sitka harbor alaska,                    sitka,,,
  14/04/1891,,,,,                   at sea,,,,
  15/04/1891,   56 56 N,  135 54 W,57,-135.4,      sitka harbor alaska,                    sitka,,,
  15/04/1891,,,57,-135.4,      sitka harbor alaska,                    sitka,,,
  16/04/1891,   56 28 N,  142 18 W,,,,,,,
  16/04/1891,,,,,                   at sea,,,,
  17/04/1891,   55 47 N,  147 16 W,,,,,,,
  17/04/1891,,,,,                   at sea,,,,
  18/04/1891,   55 00 N,  152 18 W,,,,,,,
  18/04/1891,,,,,                   at sea,,,,
  19/04/1891,   54 04 N,  157 31 W,,,,,,,
  19/04/1891,,,,,                   at sea,,,,
  20/04/1891,   53 15 N,  162 27 W,,,,,,,
  20/04/1891,,,,,                   at sea,,,,
  21/04/1891,,,53.9,-166.5,   unalaska harbor alaska,             unalaska bay,,,
  21/04/1891,,,,,                   at sea,,,,
  22/04/1891,,,53.9,-166.5,   unalaska harbor alaska,             unalaska bay,,,
  22/04/1891,,,53.9,-166.5,   unalaska harbor alaska,             unalaska bay,,,
  23/04/1891,   54 21 N,  166 57 W,,,,,,,
  23/04/1891,,,53.9,-166.5,   unalaska harbor alaska,             unalaska bay,,,
  24/04/1891,   56 22 N,  169 27 W,,,,,,,
  24/04/1891,,,55,166.3,              behring sea,                  behring,,,
  25/04/1891,   56 25 N,  169 16 W,42.2,41.7,  reef point east 34 mile,                     poti,st george island,56 35 00N,2017-07-04T00:00:00
  25/04/1891,,,55,166.3,       at sea behring sea,                  behring,,,
  26/04/1891,   54 26 N,  167 01 W,,,,,,,
  26/04/1891,,,55,166.3,       at sea behring sea,                  behring,,,
  27/04/1891,   54 24 N,  164 14 W,,,,,,,
  27/04/1891,,,55,-162.3,       at sea behring sea,                king cove,,,
  28/04/1891,   55 07 N,  160 28 W,,,,,,,
  28/04/1891,,,55.1,-162.3,        kings cove alaska,                king cove,unga island,55 15 38N,2018-04-24T00:00:00
  29/04/1891,   55 07 N,  160 28 W,,,,,unga island,,
  28/04/1891,,,55.1,-162.3,        kings cove alaska,                king cove,unga island,,
  29/04/1891,,,56.2,-171.1,north end cheonabour id sexe 5 miles,               south head,unga island,,
  29/04/1891,,,57.4,-152.3,unga harbor unga island alaska,              ugak island,unga island,,
  30/04/1891,,,65.5,-171.1,      north falmouth head,               south head,unga island,,
  30/04/1891,,,53.9,-166.5,falmouth harbor nagai island alaska,             dutch harbor,nagai island,55 05N,2017-07-11T00:00:00
  01/05/1891,,,54.2,-165.6,humboldt harbor popoff id alaska,              lost harbor,sand point,55.336593N,2020-07-31T00:00:00
  01/05/1891,,,54.2,-165.6,humboldt harbor popoff id alaska,              pook island,sand point,,
  02/05/1891,,,54.2,-165.6,humboldt harbor popoff id alaska,              lost harbor,sand point,,
  02/05/1891,,,54.2,-165.6,humboldt harbor popoff id alaska,              lost harbor,sand point,,
  03/05/1891,   55 02 N,  160 39 W,,,,,sand point,,
  03/05/1891,,,54.2,-165.6,humboldt harbor popoff id alaska,              lost harbor,sand point,,
  04/05/1891,   54 21 N,  161 32 W,,,,,,,
  04/05/1891,,,,,                   at sea,,,,
  05/05/1891,   54 29 N,  163 38 W,,,,,,,
  05/05/1891,,,,,                   at sea,,,,
