  01/10/1892,        NA,        NA_2,57.1,-170.3,sw anchorage st paul island,           st paul island,h,i,j
  01/11/1892,,,57.1,-170.3,sw anchorage st paul island,           st paul island,,,
  02/10/1892,,,57.1,-170.3,sw anchorage st paul island,           st paul island,,,
  02/11/1892,,,57.1,-170.3,sw anchorage st paul island,           st paul island,,,
  03/10/1892,   57 02 N,2017-08-15T00:00:00,57.1,-170.3,polovina mt st paul nxw 6 miles,                  st paul,,,
  03/11/1892,,,57.1,-170.3,sw anchorage st paul island,           st paul island,,,
  04/10/1892,,,56.6,-169.6,      saint george island,      saint george island,,,
  04/11/1892,,,55,166.3,               bering sea,                  behring,,,
  05/10/1892,,,56.6,-169.6,  sw bay st george island,         st george island,,,
  05/10/1892,,,55,166.3,               bering sea,                  behring,,,
  06/10/1892,,,56.6,-169.6,  sw bay st george island,         st george island,,,
  06/10/1892,,,56.6,-169.6,  sw bay st george island,         st george island,,,
  07/10/1892,   56 19 N,2018-01-09T00:00:00,,,,,,,
  07/10/1892,,,56.6,-169.6,  sw bay st george island,         st george island,,,
  08/10/1892,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  08/10/1892,,,55,166.3,               bering sea,                  behring,,,
  09/10/1892,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  09/10/1892,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  09/10/1892,,,,,                at anchor,,,,
  10/11/1892,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  10/11/1892,,,55,-1.5,         at a c cos wharf,                    t i c,unalaska bay,53 56 55N,2018-07-17T00:00:00
  11/11/1892,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  11/11/1892,,,55,-1.5,         at a c cos wharf,                    t i c,unalaska bay,,
  12/11/1892,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  12/11/1892,,,55,-1.5,         at a c cos wharf,                    t i c,unalaska bay,,
  13/11/1892,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  13/11/1892,,,55,-1.5,         at a c cos wharf,                    t i c,unalaska bay,,
  14/11/1892,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  14/11/1892,,,55,-1.5,         at a c cos wharf,                    t i c,unalaska bay,,
  15/11/1892,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  15/11/1892,,,55,-1.5,         at a c cos wharf,                    t i c,unalaska bay,,
  16/11/1892,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  16/11/1892,,,55,-1.5,         at a c cos wharf,                    t i c,unalaska bay,,
  17/11/1892,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  17/11/1892,,,55,-1.5,         at a c cos wharf,                    t i c,unalaska bay,,
  18/11/1892,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  18/11/1892,,,55,-1.5,         at a c cos wharf,                    t i c,unalaska bay,,
  19/11/1892,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  19/11/1892,,,55,-1.5,         at a c cos wharf,                    t i c,unalaska bay,,
  20/11/1892,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  20/11/1892,   56 47 N,2017-12-12T00:00:00,,,,,,,
  21/11/1892,,,55,166.3,               bering sea,                  behring,,,
  21/11/1892,,,57.1,-170.3,    sw bay st paul island,           st paul island,,,
  22/11/1892,,,55,166.3,               bering sea,                  behring,,,
  22/11/1892,,,56.6,-169.6,north anchorage st george island,         st george island,,,
  23/11/1892,,,55,166.3,               bering sea,                  behring,,,
  23/11/1892,,,56.6,-169.6,tolstoi point st george island nexe 2 miles,         st george island,,,
  24/11/1892,,,56.6,-169.6,north anchorage st george island,         st george island,,,
  24/11/1892,,,56.6,-169.6,north anchorage st george island,         st george island,,,
  25/11/1892,,,55,166.3,               bering sea,                  behring,,,
  25/11/1892,   57 20 N,2017-07-11T00:00:00,,,,,,,
  26/11/1892,,,55,166.3,               bering sea,                  behring,,,
