21/04/1894,        NA,        NA_2,37.8,-122.4,            san francisco,            san francisco_2,h,i,j
  21/04/1894,   39 53 N,  124 26 W,,,,,,,
  22/04/1894,,,,,,,,,
  22/04/1894,   43 00 N,  124 58 W,,,                     bear,,,,
  23/04/1894,,,,,,,,,
  23/04/1894,   45 50 N,  124 22 W,,,                     bear,,,,
  24/04/1894,,,,,,,,,
  24/04/1894,,,,,,,,,
  25/04/1894,,,,,,,,,
  25/04/1894,,,47.6,-122.3,             seattle wash,                  seattle,,,
  26/04/1894,,,,,,,,,
  26/04/1894,,,47.6,-122.3,             seattle wash,                  seattle,,,
  27/04/1894,,,,,,,,,
  27/04/1894,,,47.6,-122.3,             seattle wash,                  seattle,,,
  28/04/1894,,,,,,,,,
  28/04/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  29/04/1894,,,,,,,,,
  29/04/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  30/04/1894,,,,,,,,,
  30/04/1894,,,,,,,,,
  01/05/1894,,,,,,,,,
  01/05/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  02/05/1894,,,,,,,,,
  02/05/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  03/05/1894,,,,,,,,,
  03/05/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  04/05/1894,,,,,,,,,
  04/05/1894,,,,,middle pt e12s 2 12 miles,,,,
  05/05/1894,,,,,,,,,
  05/05/1894,   48 43 N,  125 48 W,,,                     bear,,,,
  06/05/1894,,,,,,,,,
  06/05/1894,   50 37 N,  129 35 W,,,,,,,
  07/05/1894,,,,,,,,,
  07/05/1894,   51 45 N,  131 23 W,,,,,,,
  08/05/1894,,,,,,,,,
  08/05/1894,   54 21 N,  133 39 W,,,,,,,
  09/05/1894,,,,,,,,,
  09/05/1894,   55 53 N,  134 44 W,,,,,,,
  10/05/1894,,,,,,,,,
  10/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  11/05/1894,,,,,,,,,
  11/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  12/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  12/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  13/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  13/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  14/05/1894,,,,,             sikta alaska,,,,
  14/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  15/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  15/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  16/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  16/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  17/05/1894,,,,,,,,,
  17/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  18/05/1894,,,,,,,,,
  18/05/1894,   57 15 N,  136 23 W,,,,,,,
  19/05/1894,,,,,,,,,
  19/05/1894,   58 42 N,  139 47 W,,,,,,,
  20/05/1894,,,,,,,,,
  20/05/1894,   59 46 N,  144 37 W,,,,,,,
  21/05/1894,,,,,,,,,
  21/05/1894,,,60.5,-145.8,off east end hawkins id cordova bay,                  cordova,orca bay cordova,60 34 43N,146 12 23W
  22/05/1894,,,,,,,,,
  22/05/1894,,,60.5,-145.8,head of cordova bay alaska,                  cordova,,,
  23/05/1894,,,,,,,,,
  23/05/1894,,,60.5,-145.8,head of cordova bay alaska,                  cordova,,,
  24/05/1894,,,,,,,,,
  24/05/1894,,,60.3,-146.6,       port etches alaska,              port etches,,,
  25/05/1894,,,43.7,7.2,    prince williams sound,                     nice,prince william sound,60 36 54N,147 10 05W
  25/05/1894,,,60.3,-146.6,       port etches alaska,              port etches,,,
  26/05/1894,,,,,,,,,
  26/05/1894,,,60.3,-146.6,       port etches alaska,              port etches,,,
  26/05/1894,,,60.3,-146.6,       port etcher alaska,              port etches,,,
  26/05/1894,   59 36 N,  148 13 W,,,,,,,
  27/05/1894,,,,,,,,,
  27/05/1894,   59 42 N,  152 12 W,,,,,,,
  28/05/1894,,,15.5,73.9,at sea cooks inlet alaska,                      goa,cook inlet,60 20 16N,151 52 30W
  28/05/1894,,,56.2,-3,anchored off fort kinai cooks inlet,                    forth,cook inlet,,
  29/05/1894,,,57.1,-170.3,munina village cooks inlet,             village cove,cook inlet,,
  29/05/1894,   59 30 N,  152 43 W,,,,,,,
  30/05/1894,,,56.2,-3,off fort kenai cooks inlet,                    forth,cook inlet,,
  30/05/1894,,,34.2,35,off karluk alaska  uyak bay,                     kure,karluk,57 34 41N,154 21 45W
  31/05/1894,,,57.4,-154.9,          shelikof strait,          shelikof strait,,,
  31/05/1894,,,57.8,-152.4,at anchor uyak bay kodiak id alaska,                   kodiak,uyak bay,57.755759,-154.10418
  01/06/1894,,,29.5,35,          uyak bay alaska,                    akaba,uyak bay,,
  01/06/1894,   58 00 N,  153 33 W,55.1,-131.2,off dry islands karluk straits,              mary island,shelikof strait,57 52 54N,154 25 31W
  02/06/1894,,,29.5,35,          uyak bay alaska,                    akaba,uyak bay,,
  02/06/1894,,,57.8,-152.4, st paul harbor kodiak id,           st paul harbor,,,
  03/06/1894,,,57.8,-152.4,    st paul harbor kodiak,           st paul harbor,,,
  03/06/1894,   57 07 N,  152 19 W,57.8,-152.4, st paul harbor kodiak id,           st paul harbor,,,
  04/06/1894,,,,,,,,,
  04/06/1894,   55 44 N,  155 40 W,,,,,,,
  05/06/1894,,,,,,,,,
  05/06/1894,   55 10 N,  160 30 W,,,,,,,
  06/06/1894,,,,,,,,,
  06/06/1894,,,42.2,41.7,        sand point alaska,                     poti,sand point alaska,55.336593N,160.493234W
  07/06/1894,,,54.2,-165.6,sand point humboldt harbor,              lost harbor,sand point alaska,,
  07/06/1894,   55 18 N,  161 34 W,,,     off belkofsky alaska,,,,
  08/06/1894,,,,,,,,,
  08/06/1894,   54 22 N,  164 02 W,,,,,,,
  09/06/1894,,,,,         bilkofsky alaska,,,,
  09/06/1894,,,,,,,,,
  10/06/1894,,,,,,,,,
  10/06/1894,,,53.9,-166.5, dutch harbor unalasku id,             dutch harbor,,,
  11/06/1894,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  11/06/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  12/06/1894,,,,,,,,,
  12/06/1894,   53 48 N,  167 26 W,,,,,,,
  13/06/1894,,,,,,,,,
  13/06/1894,   52 52 N,  169 05 W,,,,,,,
  14/06/1894,,,4,9.7,          umnak id alaska,                    duala,umnak island,53 13 26N,168 25 55W
  14/06/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  15/06/1894,,,,,,,,,
  15/06/1894,,,,,                 anchored,,,,
  16/06/1894,,,,,          unaluska alaska,,,,
  16/06/1894,,,,,                 anchored,,,,
  17/06/1894,,,,,,,,,
  17/06/1894,,,,,                 anchored,,,,
  18/06/1894,,,53.9,73.9,          unalaska alaska,             unalaska bay,,,
