  01/01/1894,        NA,        NA_2,37.8,-122.4,        san francisco cal,        san francisco bay,h,i,j
  02/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  03/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  04/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  07/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  08/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  09/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  11/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  12/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  13/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  15/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/01/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  18/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  19/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  20/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  21/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  22/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  23/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  24/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  25/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  26/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  27/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  28/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  29/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  30/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  31/01/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  01/02/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  02/02/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  03/02/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  04/02/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  05/02/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
