  01/01/1895,        NA,        NA_2,37.8,-122.3,            sausalito cal,                sausalito,h,i,j
  02/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  03/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  04/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  05/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  06/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  07/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  08/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  09/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  10/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  11/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  12/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  13/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  14/01/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  15/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  20/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  21/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  22/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  23/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  24/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  25/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  27/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  28/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  29/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  30/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  31/01/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  01/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  03/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  04/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  07/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  08/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  09/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
