  01/05/1897,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/05/1897,,,47.6,-122.3,       seattle washington,                  seattle,,,
  02/05/1897,,,,,,,,,
  02/05/1897,,,47.6,-122.3,       seattle washington,                  seattle,,,
  03/05/1897,,,,,,,,,
  03/05/1897,,,47.6,-122.3,       seattle washington,                  seattle,,,
  04/05/1897,,,,,,,,,
  04/05/1897,,,47.6,-122.3,       seattle washington,                  seattle,,,
  05/05/1897,,,,,,,,,
  05/05/1897,,,48.1,-122.8, port townsend washington,            port townsend,,,
  06/05/1897,,,,,,,,,
  06/05/1897,,,55.1,-6,         departure bay bc,                  red bay,departure bay nanaimo,49.192011N,2019-11-18T00:00:00
  07/05/1897,,,,,,,,,
  07/05/1897,,,55.1,-6,         departure bay bc,                  red bay,departure bay nanaimo,,
  08/05/1897,,,,,,,,,
  08/05/1897,,,55,-1.5,          off victoria bc,                      tic,victoria,48.422151N,2019-11-14T00:00:00
  09/05/1897,,,,,,,,,
  09/05/1897,,,55,-1.5,              victoria bc,                      tic,victoria,,
  10/05/1897,,,,,,,,,
  10/05/1897,     48 42,    126 12,,,       cape flattery wash,,north pacific,,
  11/05/1897,,,,,,,,,
  11/05/1897,     49 25,    130 28,,,,,north pacific,,
  12/05/1897,,,,,,,,,
  12/05/1897,     50 29,    135 22,47.6,-122.3,at sea passage from seattle wash to unalaska,                  seattle,north pacific,,
  13/05/1897,,,,,,,,,
  13/05/1897,     51 37,    138 47,47.6,-122.3,at sea passage from seattle wash to unalaska,                  seattle,north pacific,,
  14/05/1897,,,,,,,,,
  14/05/1897,     52 26,  142 27 W,47.6,-122.3,at sea passage from seattle wash to unalaska,                  seattle,north pacific,,
  15/05/1897,,,,,,,,,
  15/05/1897,     53 06,    148 12,47.6,-122.3,at sea passage from seattle wash to unalaska,                  seattle,north pacific,,
  16/05/1897,,,,,,,,,
  16/05/1897,     54 16,    154 28,47.6,-122.3,at sea passage from seattle wash to unalaska,                  seattle,north pacific,,
  17/05/1897,,,,,,,,,
  17/05/1897,,,15.5,73.9,          off unga alaska,                      goa,unga island,55 15 38N,2018-04-24T00:00:00
  18/05/1897,,,,,,,,,
  18/05/1897,,,47.6,-122.3,belkofsky wxs 12 s 5 miles,                  seattle,belkofski alaska,55 05 20N,2018-06-19T00:00:00
  19/05/1897,,,,,,,,,
  19/05/1897,,,47.6,-122.3,at sea passage from seattle wash to unalaska,                  seattle,unalga island,53 58 35N,2018-04-03T00:00:00
  20/05/1897,,,53.9,-166.5,             dutch harbor,             dutch harbor,,,
  20/05/1897,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  21/05/1897,,,,,,,,,
  21/05/1897,     54 34,    167 09,55,166.3,        at sea bering sea,                  behring,,,
  22/05/1897,,,,,,,,,
  22/05/1897,   56 26 N,  169 20 W,55,166.3,        at sea bering sea,                  behring,,,
  23/05/1897,,,,,,,,,
  23/05/1897,,,57.1,-170.3,off village cove st paul island,           st paul island,,,
  24/05/1897,,,,,,,,,
  24/05/1897,,,57.1,-170.3,off village cove st paul island,           st paul island,,,
  25/05/1897,,,22.4,114.2,               tolstoi pt,                     tolo,st george island alaska,56 35 00N,2017-07-04T00:00:00
  25/05/1897,     55 41,    168 49,55,166.3,        at sea bering sea,                  behring,,,
  26/05/1897,,,,,,,,,
  26/05/1897,,,55,166.3,        at sea bering sea,                  behring,,,
  27/05/1897,,,,,,,,,
  27/05/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  28/05/1897,,,,,,,,,
  28/05/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  29/05/1897,,,,,,,,,
  29/05/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  30/05/1897,,,,,,,,,
  30/05/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  31/05/1897,,,,,,,,,
  31/05/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  01/06/1897,,,,,,,,,
  01/06/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  02/06/1897,,,,,,,,,
  02/06/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  03/06/1897,,,,,,,,,
  03/06/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  04/06/1897,,,,,,,,,
  04/06/1897,     54 52,    166 32,53.8,-167,priest rock nexe 34 e  5 miles,              priest rock,,,
  05/06/1897,,,,,,,,,
  05/06/1897,     56 12,    166 34,55,166.3,        at sea bering sea,                  behring,,,
  06/06/1897,,,,,,,,,
  06/06/1897,     58 41,    166 43,55,166.3,        at sea bering sea,                  behring,,,
  07/06/1897,,,,,           nuuivak island,,,,
  07/06/1897,     59 55,    169 00,,,nunivak island bering sea,,nunivak island,60 05 42N,2018-04-10T00:00:00
  08/06/1897,,,,,,,,,
  08/06/1897,   60 12 N,  172 00 W,,,off nunivak island bering sea,,st matthew island,60 24 31N,2017-09-26T00:00:00
  09/06/1897,,,,,,,,,
  09/06/1897,,,60.4,-172.7,off st matthews island bering sea,        st matthew island,,,
  10/06/1897,,,,,,,,,
  10/06/1897,     61 12,    172 57,60.4,-172.7,st matthews island bering sea,        st matthew island,,,
  11/06/1897,,,,,,,,,
  11/06/1897,,,56.2,-3,        at sea bering sea,                    forth,st lawrence island,63 24N,2017-09-12T00:00:00
