  14/07/1901,        NA,        NA_2,48.1,-122.8,            port townsend,            port townsend_2,h,i,j
  14/07/1901,,,22.6,59.5,       fraser river lt ho,                      sur,strait of georgia canada,49 17 39N,123 48 26W
  15/07/1901,,,,,,,,,
  15/07/1901,,,43.1,16.7,           union wharf bc,                     hvar,strait of georgia canada,,
  16/07/1901,,,,,,,,,
  16/07/1901,,,43.1,16.7,           union wharf bc,                     hvar,strait of georgia canada,,
  17/07/1901,,,,,,,,,
  17/07/1901,,,29.9,32.6,   straits of georgia  bc,        strait of georgia,strait of georgia canada,,
  18/07/1901,,,50.6,-126.9,             alert bay bc,                alert bay,,,
  18/07/1901,,,50.6,-126.9,alert bay cormorant id bc,                alert bay,,,
  19/07/1901,,,,,,,,,
  19/07/1901,     51 41,    133 23,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  20/07/1901,,,,,,,,,
  20/07/1901,     52 32,    139 11,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  21/07/1901,,,,,,,,,
  21/07/1901,     52 25,    143 30,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  22/07/1901,,,,,,,,,
  22/07/1901,     52 46,    147 37,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  23/07/1901,,,,,,,,,
  23/07/1901,     53 10,    152 11,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  24/07/1901,,,,,,,,,
  24/07/1901,     53 40,    157 34,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  25/07/1901,,,,,,,,,
  25/07/1901,     53 37,    163 31,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  26/07/1901,,,,,,,,,
  26/07/1901,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  27/07/1901,,,,,,,,,
  27/07/1901,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  28/07/1901,,,,,,,,,
  28/07/1901,     56 15,    167 25,55,166.3,        at sea bering sea,                  behring,,,
  29/07/1901,,,,,,,,,
