  01/01/1904,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h
  01/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  02/01/1904,,,,,,,
  02/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  03/01/1904,,,,,,,
  03/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  04/01/1904,,,,,,,
  04/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  04/01/1904,,,,,,,
  04/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  05/01/1904,,,,,,,
  05/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  06/01/1904,,,,,,,
  06/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  07/01/1904,,,,,,,
  07/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  08/01/1904,,,,,,,
  08/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  09/01/1904,,,,,,,
  09/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  10/01/1904,,,,,,,
  10/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  11/01/1904,,,,,,,
  11/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  12/01/1904,,,,,,,
  12/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  13/01/1904,,,,,,,
  13/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  14/01/1904,,,,,,,
  14/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  15/01/1904,,,,,,,
  15/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  16/01/1904,,,,,,,
  16/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  17/01/1904,,,,,,,
  17/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  18/01/1904,,,,,,,
  18/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  19/01/1904,,,,,,,
  19/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  20/01/1904,,,,,,,
  20/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  21/01/1904,,,,,,,
  21/01/1904,,,32.7,-117.2,            san diego cal,            san diego usa,
  22/01/1904,,,,,,,
