  01/01/1918,        NA,        NA_2,33.7,-118.3,     san pedro california,          san pedro calif
  01/01/1918,,,,,,
  01/01/1918,,,,,,
  01/01/1918,,,,,,
  01/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  02/01/1918,,,,,,
  02/01/1918,,,,,,
  02/01/1918,,,,,,
  03/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  03/01/1918,,,33.7,-118.3,          san pedro calif,          san pedro calif
  03/01/1918,,,,,,
  03/01/1918,,,,,,
  03/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  04/01/1918,,,33.7,-118.3,          san pedro calif,          san pedro calif
  04/01/1918,,,,,,
  04/01/1918,,,,,,
  04/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  05/01/1918,,,33.7,-118.3,          san pedro calif,          san pedro calif
  05/01/1918,,,,,,
  05/01/1918,,,,,,
  05/01/1918,,,,,,
  05/01/1918,,,,,,
  05/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  06/01/1918,,,37.8,-122.4,        san francisco cal,        san francisco bay
  06/01/1918,,,,,,
  06/01/1918,,,,,,
  06/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  07/01/1918,,,33.7,-118.3,          san pedro calif,          san pedro calif
  07/01/1918,,,,,,
  07/01/1918,,,,,,
  07/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  08/01/1918,,,33.7,-118.3,            san pedro cal,          san pedro calif
  08/01/1918,,,,,,
  08/01/1918,,,,,,
  08/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  09/01/1918,,,33.7,-118.3,            san pedro cal,          san pedro calif
  09/01/1918,,,,,,
  09/01/1918,,,,,,
  09/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  10/01/1918,,,33.7,-118.3,            san pedro cal,          san pedro calif
  10/01/1918,,,,,,
  10/01/1918,,,,,,
  10/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  11/01/1918,,,,,,
  11/01/1918,,,,,,
  11/01/1918,,,,,,
  11/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  12/01/1918,,,33.7,-118.3,            san pedro cal,          san pedro calif
  12/01/1918,,,,,,
  12/01/1918,,,,,,
  12/01/1918,,,,,,
  12/01/1918,,,,,,
  12/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  13/01/1918,,,,,,
  13/01/1918,,,,,,
  13/01/1918,,,,,,
  13/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  14/01/1918,,,33.7,-118.3,            san pedro cal,          san pedro calif
  14/01/1918,,,,,,
  14/01/1918,,,,,,
  14/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  15/01/1918,,,33.7,-118.3,            san pedro cal,          san pedro calif
  15/01/1918,,,,,,
  15/01/1918,,,,,,
  15/01/1918,,,33.7,-118.3,     san pedro california,          san pedro calif
  16/01/1918,,,33.7,-118.3,            san pedro cal,          san pedro calif
  16/01/1918,,,,,,
  16/01/1918,,,,,,
