          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
,,,,,,,,,
  26/08/1891,,,,,,,,,
  26/08/1891,,,,,,,,,
  26/08/1891,,,,,,,,,
  26/08/1891,,,,,,,,,
  26/08/1891,,,,,,,,,
  26/08/1891,,,,,,,,,
  02/18/1891,,,,,,,,,
  02/18/1891,,,,,,,,,
  02/18/1891,,,,,,,,,
  02/18/1891,,,,,,,,,
  02/18/1891,,,40.7,-74,navy yard brooklyn new york,                 new york,brooklyn navy yard,40.7N,73.97W
  14/02/1891,,,41,29,               batcheller,                   batche,brooklyn navy yard,,
  14/02/1891,,,40.7,-74,navy yard brooklyn new york,                 new york,brooklyn navy yard,,
  15/02/1891,,,,,,,,,
  15/02/1891,,,40.7,-74,navy yard brooklyn new york,                 new york,brooklyn navy yard,,
  16/02/1891,,,,,,,,,
  16/02/1891,,,40.7,-74,navy yard brooklyn new york,                 new york,brooklyn navy yard,,
  17/02/1891,,,,,,,,,
  17/02/1891,,,40.7,-74,navy yard brooklyn new york,                 new york,brooklyn navy yard,,
  18/02/1891,,,,,,,,,
  18/02/1891,,,40.7,-74,navy yard brooklyn new york,                 new york,brooklyn navy yard,,
  19/02/1891,,,,,,,,,
  19/02/1891,,,40.7,-74,navy yard brooklyn new york,                 new york,brooklyn navy yard,,
  20/02/1891,,,,,,,,,
  20/02/1891,,,40.7,-74,navy yard brooklyn new york,                 new york,brooklyn navy yard,,
  21/02/1891,,,,,,,,,
  21/02/1891,,,40.7,-74,navy yard brooklyn new york,                 new york,brooklyn navy yard,,
  22/02/1891,,,,,,,,,
  22/02/1891,,,40.7,-74,navy yard brooklyn new york,                 new york,brooklyn navy yard,,
  23/02/1891,,,,,,,,,
  23/02/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  24/02/1891,,,,,,,,,
  24/02/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  25/02/1891,,,,,,,,,
  25/02/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  26/02/1891,,,40.6,-74,      brooklyn naval yard,                 brooklyn,brooklyn navy yard,,
  27/02/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  27/02/1891,,,40.6,-74,      brooklyn naval yard,                 brooklyn,brooklyn navy yard,,
  28/02/1891,,,40.6,-74,   navy yard brooklyn n y,                 brooklyn,brooklyn navy yard,,
  27/02/1891,,,,,,,,,
  27/02/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  28/02/1891,,,,,,,,,
  28/02/1891,,,40.6,-74,   navy yard brooklyn n y,                 brooklyn,brooklyn navy yard,,
  01/03/1891,,,,,,,,,
  01/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  02/03/1891,,,,,,,,,
  02/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  03/03/1891,,,,,,,,,
  03/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  04/03/1891,,,,,,,,,
  04/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  05/03/1891,,,,,,,,,
  05/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  06/03/1891,,,,,,,,,
  06/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  07/03/1891,,,,,,,,,
  08/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  08/03/1891,,,,,,,,,
  08/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  09/03/1891,,,,,,,,,
  09/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  10/03/1891,,,,,,,,,
  10/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  11/03/1891,,,,,,,,,
  11/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  12/03/1891,,,,,,,,,
  12/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  13/03/1891,,,,,,,,,
