  01/01/1896,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  01/01/1896,,,,,,,,,
  01/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  02/01/1896,,,,,,,,,
  02/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  02/01/1896,,,,,,,,,
  02/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  03/01/1896,,,,,,,,,
  03/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  03/01/1896,,,,,,,,,
  03/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  04/01/1896,,,,,,,,,
  04/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  05/01/1896,,,,,,,,,
  05/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  06/01/1896,,,,,,,,,
  06/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  06/01/1896,,,,,,,,,
  06/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  07/01/1896,,,,,,,,,
  07/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  07/01/1896,,,,,,,,,
  07/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  08/01/1896,,,,,,,,,
  08/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  08/01/1896,,,,,,,,,
  08/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  09/01/1896,,,,,,,,,
  09/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  09/01/1896,,,,,,,,,
  09/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  10/01/1896,,,,,,,,,
  10/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  10/01/1896,,,,,,,,,
  10/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  11/01/1896,,,,,,,,,
  11/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  12/01/1896,,,,,,,,,
  12/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  13/01/1896,,,,,,,,,
  13/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  13/01/1896,,,,,,,,,
  13/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  14/01/1896,,,,,,,,,
  14/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  14/01/1896,,,,,,,,,
  14/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  15/01/1896,,,,,,,,,
  15/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  15/01/1896,,,,,,,,,
  15/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  16/01/1896,,,,,,,,,
  16/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  16/01/1896,,,,,,,,,
  16/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  17/01/1896,,,,,,,,,
  17/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  17/01/1896,,,,,,,,,
  17/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  18/01/1896,,,,,,,,,
  18/01/1896,,,26.1,119.5,moored pagoda anchorage min river china,                min river,,,
  19/01/1896,,,,,,,,,
