  01/01/1867,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  02/01/1867,,,,,,,,,
  02/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  03/01/1867,,,,,,,,,
  03/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  04/01/1867,,,,,,,,,
  04/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  05/01/1867,,,,,         dead mans island,,,,
  05/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  06/01/1867,,,,,,,,,
  06/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  07/01/1867,,,,,,,,,
  07/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  08/01/1867,,,,,,,,,
  08/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  09/01/1867,,,,,,,,,
  09/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  10/01/1867,,,,,,,,,
  10/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  11/01/1867,,,,,,,,,
  11/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  12/01/1867,,,,,,,,,
  12/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  13/01/1867,,,,,,,,,
  13/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  14/01/1867,,,,,,,,,
  14/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  15/01/1867,,,,,,,,,
  15/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  16/01/1867,,,,,,,,,
  16/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  17/01/1867,,,,,,,,,
  17/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  18/01/1867,,,,,,,,,
  18/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  19/01/1867,,,,,,,,,
  19/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
   20/1/1867,,,,,,,,,
   20/1/1867,,,9,-79.5, at anchor panama bay usa,                   panama,,,
  21/01/1867,,,,,,,,,
  21/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
   22/1/1867,,,,,,,,,
   22/1/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  23/01/1867,,,,,,,,,
  23/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  24/01/1867,,,,,,,,,
  24/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
   25/1/1867,,,,,,,,,
   25/1/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  26/01/1867,,,,,,,,,
  26/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  27/01/1867,,,,,,,,,
  27/01/1867,,,9,-79.5,               panama bay,                   panama,,,
   28/1/1867,,,,,,,,,
   28/1/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  29/01/1867,,,,,,,,,
  29/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
   30/1/1867,,,,,,,,,
   30/1/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  31/01/1867,,,,,,,,,
  31/01/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  01/02/1867,,,,,,,,,
  01/02/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  02/02/1867,,,,,,,,,
  02/02/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  03/02/1867,,,,,,,,,
  03/02/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  04/02/1867,,,,,,,,,
  04/02/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  05/02/1867,,,,,,,,,
  05/02/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  06/02/1867,,,,,,,,,
  06/02/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  07/02/1867,,,,,,,,,
  07/02/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  08/02/1867,,,,,,,,,
  08/02/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  09/02/1867,,,,,,,,,
  09/02/1867,,,9,-79.5,            bay of panama,                   panama,,,
   10/2/1867,,,,,,,,,
   10/2/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  11/02/1867,,,,,,,,,
  11/02/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  12/02/1867,,,,,,,,,
  12/02/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  13/02/1867,,,,,,,,,
  13/02/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  14/02/1867,,,,,,,,,
  14/02/1867,,,9,-79.5,           panama bay usc,                   panama,,,
   15/2/1867,,,,,,,,,
   15/2/1867,,,9,-79.5,           panama bay usc,                   panama,,,
  16/02/1867,,,,,,,,,
