          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
  13/03/1886,   14 42 N,   61 19 W,17.3,-62.7,                   400 am,      basseterre st kitts,martinique,14 40N,0001-01-01
  13/03/1886,,,14.7,-61,     st pierre martinique,               martinique,,,
  13/03/1886,,,14.7,-61, st pierre martinique w j,               martinique,,,
  14/03/1886,,,,,,,,,
  14/03/1886,,,14.7,-61,mt anchor off st pierro martinique wi,               martinique,,,
  15/03/1886,,,,,,,,,
  15/03/1886,,,14.7,-61,at anchor off st pierr martinique we,               martinique,,,
   16/3/1886,,,,,,,,,
   16/3/1886,,,,,,,,,
  17/03/1886,,,,,,,,,
  17/03/1886,,,,,,,,,
   18/3/1886,,,,,,,,,
   18/3/1886,,,14.7,-61,          martinique wash,               martinique,,,
   19/3/1886,,,,,,,,,
   19/3/1886,,,14.7,-61,          martinique wash,               martinique,,,
  20/03/1886,,,,,,,,,
  20/03/1886,,,14.7,-61,  st pierre martinique wi,               martinique,,,
   21/3/1886,,,,,,,,,
   21/3/1886,,,14.7,-61,cruising off the il of martinique wi,               martinique,,,
  22/03/1886,,,,,,,,,
  22/03/1886,,,,,,,,,
   23/3/1886,,,,,,,,,
   23/3/1886,,,14.7,-61,  st pierre martinique wi,               martinique,,,
  24/03/1886,,,,,,,,,
  24/03/1886,,,14.7,-61,     st pierre martinigue,               martinique,,,
25/ 03/ 1886,,,,,,,,,
25/ 03/ 1886,,,14.7,-61,  st pierre martinique wi,               martinique,,,
  26/03/1886,,,,,,,,,
  26/03/1886,,,14.7,-61,at anchor of st pierre martinique,               martinique,,,
   27/3/1886,,,,,,,,,
   27/3/1886,,,14.7,-61,     st pierre martinique,               martinique,,,
  03/28/1886,,,,,,,,,
12/3/1886,,,14.7,-61,            martinique wj,               martinique,,,
   3/29/1886,,,,,,,,,
   3/29/1886,,,14.7,-61,  st pierre martinique wi,               martinique,,,
   30/3/1886,,,,,,,,,
   30/3/1886,,,14.7,-61,  st pierre martinique wi,               martinique,,,
  03/31/1886,,,,,,,,,
  03/31/1886,,,14.7,-61,            martinique wj,               martinique,,,
    5/1/1886,,,,,,,,,
    5/1/1886,,,,,,,,,
  01/04/1886,,,,,,,,,
  01/04/1886,,,14.7,-61, st pierre martiinique wi,               martinique,,,
  02/04/1886,,,,,,,,,
  02/04/1886,,,14.7,-61,  st pierre martinique wi,               martinique,,,
  03/04/1886,,,,,,,,,
  03/04/1886,,,14.7,-61,at anchor off st pierre martinique w i,               martinique,,,
  04/04/1886,,,,,,,,,
  04/04/1886,      15 N,   61 26 W,14.7,-61,making passage from st pierre martinique to st thomas  i,               martinique,caribbean sea,15N,0002-06-10
  05/04/1886,,,,,,,,,
  05/04/1886,   16 36 N,   62 53 W,14.7,-61,making passage from st pierre martinique to st thomas w i,               martinique,caribbean sea,,
  06/04/1886,,,,,,,,,
