    1/1/1892,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
    1/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,36 56.7N,76 18.8W
    2/1/1892,,,,,,,,,
    2/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    3/1/1892,,,,,,,,,
    3/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    4/1/1892,,,,,,,,,
    4/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    5/1/1892,,,,,,,,,
    5/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    6/1/1892,,,,,,,,,
    6/1/1892,,,-43,147.8,moored to dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  06/01/1892,,,,,,,,,
  06/01/1892,,,-43,147.8,moored to dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  06/01/1892,,,,,,,,,
  06/01/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    7/1/1892,,,,,,,,,
    7/1/1892,,,-43,147.8,moored to dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  07/01/1892,,,,,,,,,
  07/01/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    8/1/1892,,,,,,,,,
    8/1/1892,,,-43,147.8,moored to dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  08/01/1892,,,,,,,,,
  08/01/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    9/1/1891,,,,,,,,,
    9/1/1891,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   10/1/1892,,,,,,,,,
   10/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   11/1/1892,,,,,,,,,
   11/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   12/1/1892,,,,,,,,,
   12/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   13/1/1892,,,,,,,,,
   13/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   14/1/1892,,,,,,,,,
   14/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   15/1/1892,,,,,,,,,
   15/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   16/1/1892,,,,,,,,,
   16/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   17/1/1892,,,,,,,,,
   17/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   18/1/1892,,,,,,,,,
   18/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   19/1/1892,,,,,,,,,
   19/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   20/1/1892,,,,,,,,,
   20/1/1892,,,-43,147.8,moored to the dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  20/01/1892,,,,,,,,,
  20/01/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   21/1/1892,,,,,,,,,
   21/1/1892,,,-43,147.8,moored to the dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
   22/1/1892,,,,,,,,,
   22/1/1892,,,-43,147.8,moored to the dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  22/01/1892,,,,,,,,,
  22/01/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   23/1/1892,,,,,,,,,
   23/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   24/1/1892,,,,,,,,,
   24/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   25/1/1892,,,,,,,,,
   25/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   26/1/1892,,,,,,,,,
   26/1/1892,,,-43,147.8,moored to the dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  26/01/1892,,,,,,,,,
  26/01/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   27/1/1892,,,,,,,,,
   27/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   28/1/1892,,,,,,,,,
   28/1/1892,,,-43,147.8,moored to the dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  28/01/1892,,,,,,,,,
  28/01/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   29/1/1892,,,,,,,,,
   29/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   30/1/1892,,,,,,,,,
   30/1/1892,,,-43,147.8,in stone dry dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  30/01/1892,,,,,,,,,
  30/01/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   31/1/1892,,,,,,,,,
   31/1/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    1/2/1892,,,,,,,,,
    1/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    2/2/1892,,,,,,,,,
    2/2/1892,,,-43,147.8,in stone dry dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  02/02/1892,,,,,,,,,
  02/02/1892,,,-43,147.8,moored to the dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  03/02/1892,     03 02,,,,,,,,
  03/02/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    4/2/1892,,,,,,,,,
    4/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    5/2/1892,,,,,,,,,
    5/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    6/2/1892,,,,,,,,,
    6/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    7/2/1892,,,,,,,,,
    7/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    8/2/1892,,,,,,,,,
    8/2/1892,,,-43,147.8,moored to the dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  08/02/1892,,,,,,,,,
  08/02/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
    9/2/1892,,,,,,,,,
    9/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   10/2/1892,,,,,,,,,
   10/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   11/2/1892,,,,,,,,,
   11/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   12/2/1892,,,,,,,,,
   12/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   13/2/1892,,,,,,,,,
   13/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   14/2/1892,,,,,,,,,
   14/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   15/2/1892,,,,,,,,,
   15/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   16/2/1892,,,,,,,,,
   16/2/1892,,,-43,147.8,moored to the dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  16/02/1892,,,,,,,,,
  16/02/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   17/2/1892,,,,,,,,,
   17/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   18/2/1892,,,,,,,,,
   18/2/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
   19/2/1892,,,,,,,,,
