  01/05/1884,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/05/1884,,,,,,,,,
  01/05/1884,,,40.7,-73.9,in dry dock navy yard brooklyn ny,     us navy yard brookly,,,
  02/04/1884,,,40.7,-73.9,in dry dock navy yard brooklyn ny,     us navy yard brookly,,,
  02/04/1884,,,40.6,-74,navy yard brooklyn in dry dock,                 brooklyn,,,
  03/04/1884,,,,,,,,,
  03/04/1884,,,40.7,-73.9,in dry dock navy yard brooklyn ny,     us navy yard brookly,,,
  04/04/1884,,,,,,,,,
  04/04/1884,,,40.6,-74,in dry dock navy yard brooklyn ny,                 brooklyn,,,
  05/04/1884,,,,,,,,,
  05/04/1884,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  06/04/1884,,,,,,,,,
  06/04/1884,,,40.6,-74,in dry dock navy yard brooklyn ny,                 brooklyn,,,
  08/04/1884,,,,,,,,,
  08/04/1884,,,40.6,-74,in dry dock navy yard brooklyn ny,                 brooklyn,,,
  09/04/1884,,,,,,,,,
  09/04/1884,,,40.6,-74,in dry dock navy yard brooklyn ny,                 brooklyn,,,
  10/04/1884,,,,,,,,,
  10/04/1884,,,40.6,-74,in dry dock navy yard brooklyn ny,     us navy yard brookly,,,
  11/04/1884,,,,,,,,,
  11/04/1884,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  12/04/1884,,,,,,,,,
  12/04/1884,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  13/04/1884,,,,,,,,,
  13/04/1884,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  14/04/1884,,,,,,,,,
  14/04/1884,,,40.6,-74,in dry dock navy yard brooklyn ny,     us navy yard brookly,,,
  15/04/1884,,,,,,,,,
  15/04/1884,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  16/04/1884,,,,,,,,,
  16/04/1884,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  17/04/1884,,,,,,,,,
  17/04/1884,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  18/04/1884,,,,,,,,,
  18/04/1884,,,40.7,-74,    navy yard brooklyn ny,     us navy yard brookly,,,
  19/04/1883,,,,,,,,,
  19/04/1883,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  20/04/1884,,,,,,,,,
  20/04/1884,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  21/04/1884,,,,,,,,,
  21/04/1884,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,,,
  22/04/1884,,,,,,,,,
