     04/1946,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j,k
     04/1946,,,,,,,,,,
     04/1946,,,,,,,,,,
     04/1946,,,,,,,,,,
     04/1946,,,,,,,,,,
     04/1946,,,,,,,,,,
     04/1946,,,,,,,,,,
     04/1946,,,,,,,,,,
     04/1946,,,,,,,,,,
     04/1946,,,,,,,,,,
     04/1946,   20 06 N,  106 38 W,,,,,,,,
  01/04/1946,,,,,enroute from panama canal zone to san francisco california,,,,,
  01/04/1946,   22 54 N,  110 15 W,55,-1.5,            pacific ocean,                      tic,,,,
  02/04/1946,,,22.9,-110,cabo falso abeam to starboard distance 103 miles,               cabo falso,,,,
  02/04/1946,   25 21 N,  113 15 W,55,-1.5,            pacific ocean,                      tic,,,,
  03/04/1946,,,24.8,-112.3,tosco pt light abeam to starboard distance 15 miles,          cape san lazaro,,,,
  03/04/1946,   28 40 N,  117 07 W,55,-1.5,            pacific ocean,                      tic,,,,
  04/04/1946,,,28.1,-115.2,cedros mountain cedros island abeam to starboard  distance twenty two 22 miles,          cedros mountain,,,,
  04/04/1946,   32 33 N,  119 52 W,55,-1.5,            pacific ocean,                      tic,,,,
  05/04/1946,,,37.8,-122.4,enroute from the panama canal zone to san francisco california,        san francisco bay,,,,
  05/04/1946,   35 12 N,  121 25 W,55,-1.5,            pacific ocean,                      tic,,,,
  06/04/1946,,,43.7,7.2,santa cruz light abeam to starboard distance 14 miles,                     nice,,santa cruz light,,
  06/04/1946,,,37.8,-122.4,            san francisco,            san francisco,,,,
  07/04/1946,,,37.8,-122.4,point bonita lt abeam to port  distance one 1 mile,        san francisco bay,,,,
  07/04/1946,,,37.8,-122.4,            san francisco,            san francisco,,,,
  08/04/1946,,,52.1,73.9,anchored in anchorage 7 san francisco bay,        san francisco bay,,,,
  08/04/1946,,,37.8,-122.4,            san francisco,            san francisco,,,,
  09/04/1946,,,38.5,73.9,tower b oakland bay bridge 150 t,                    horta,,san francisco bay,,
  09/04/1946,,,37.8,-122.4,            san francisco,            san francisco,,,,
  10/04/1946,,,15.5,73.9,       alcatraz light 298,        san francisco bay,,,,
  10/04/1946,,,37.8,-122.4,            san francisco,            san francisco,,,,
  11/04/1946,,,38.5,73.9,tower b oakland bay bridge 150,                    horta,,san francisco bay,,
  11/04/1946,,,37.8,-122.4,            san francisco,            san francisco,,,,
  12/04/1946,,,37.8,-122.4,           coit tower 234,        san francisco bay,,,,
  12/04/1946,,,37.8,-122.4,anchorage 7 san francisco,            san francisco,,,,
  13/04/1946,,,37.8,-122.4,           coit tower 234,        san francisco bay,,,,
  13/04/1946,,,37.8,-122.4,        san francisco bay,            san francisco,,,,
  14/04/1946,,,52.1,-122.4,           coit tower 234,        san francisco bay,,,,
  14/04/1946,,,37.8,-122.4,san francisco bay california,        san francisco bay,,,,
  15/04/1946,,,37.8,-122.4,           coit tower 234,        san francisco bay,,,,
  15/04/1946,,,37.8,-122.4,  san francisco bay calif,        san francisco bay,,,,
  16/04/1946,,,52.1,-122.4,           coit tower 234,        san francisco bay,,,,
  16/04/1946,   38 27 N,  123 29 W,37.8,-122.4, san francisco california,        san francisco bay,,,,
  17/04/1946,,,12.8,45,           coit tower 234,        san francisco bay,,,,
  17/04/1946,   41 27 N,  124 43 W,55,-1.5,                     8 pm,                      tic,,,,
  18/04/1946,,,43.7,7.2,passed cape blanco light abeam to starboard distance 75 miles,                     nice,,cape blanco light,42 50 12N,124 33 48W
  18/04/1946,   46 10 N,  124 48 W,55,-1.5,            pacific ocean,                      tic,,,,
  19/04/1946,,,43.7,47.8,destruction island light abeam to starboard distance 12 miles,                     nice,,destruction island light,47.675N,124.484W
  19/04/1946,   47 54 N,  122 30 W,48.2,-123.6,  san juan de fuca strait,      juan de fuca strait,,,,
  20/04/1946,,,43.7,7.2,marrowstone point light abeam to starboard distance 08 miles,                     nice,,marrowstone point light,48.1018N,122.6879W
