          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
,,,,,,,,,
,,,,,,,,,
  10/23/1897,,,36.8,-76.3,            portsmouth nh,            portsmouth va,portsmouth new hampshire,43 4 32N,0001-09-24
  10/23/1897,,,,,,,,,
  23/10/1897,,,34.7,135.1,            uss vicksberg,                     kobe,portsmouth new hampshire,,
  23/10/1897,,,,,,,,,
  23/10/1897,,,,,,,,,
  23/10/1897,,,,,,,,,
  23/10/1897,,,,,,,,,
  23/10/1897,,,,,,,,,
  23/10/1897,,,,,,,,,
  23/10/1897,,,,,,,,,
  23/10/1897,,,,,,,,,
  23/10/1897,,,36.8,-76.3,            portsmouth nh,            portsmouth va,portsmouth new hampshire,,
  23/10/1897,,,,,,,,,
  23/10/1897,,,36.8,-76.3,moored alongside seawall us navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,43 4 44N,0001-01-22
  24/10/1897,,,,,,,,,
  24/10/1897,,,36.8,-76.3,moored alongside seawall us navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  25/11/1897,,,,,,,,,
  25/11/1897,,,36.8,-76.3,moored alongside seawall us navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  26/10/1897,,,,,,,,,
  26/10/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  27/10/1897,,,,,,,,,
  27/10/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  28/10/1897,,,,,,,,,
  28/10/1897,,,36.8,-76.3,moored alongside seawall us navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  29/10/1897,,,,,,,,,
  29/10/1897,,,36.8,-76.3,moored alongside seawall us navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  30/10/1897,,,,,,,,,
  30/10/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  31/10/1897,,,,,,,,,
  31/10/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
   1/11/1897,,,,,,,,,
   1/11/1897,,,36.8,-76.3,moored alongside seawall us navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  02/11/1897,,,,,,,,,
  02/11/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  03/11/1897,,,,,,,,,
  03/11/1897,     42 37,     70 25,36.8,-76.3,moored alongside seawall navy yard portsmouth nh and at sea on trial trip,            portsmouth va,north atlantic,,
  04/11/1897,,,,,,,,,
  04/11/1897,   42 57 N,   70 23 W,30.5,117.1,standing off and on near isle of shoals light,                   anking,isles of shoals light,42 58 2.04N,0001-06-16
  05/11/1897,,,,,,,,,
  05/11/1897,     42 56,     70 41,,,,,,,
  06/11/1897,,,30.6,117.2,lying to off whietling buoy,                    mashi,isles of shoals,42 58 53N,0001-10-15
  06/11/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  07/11/1897,,,,,,,,,
