  01/01/1914,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/01/1914,,,30.6,117.2,in dry dock 1 navy yard puget sound washington,                    mashi,puget sound,47.6N,122.4W
  02/01/1914,,,,,,,,,
  02/01/1914,,,30.6,117.2,in dry dock 1 navy yard puget sound washington,                    mashi,puget sound,,
  03/01/1914,,,,,,,,,
  03/01/1914,,,30.6,117.2,in dry dock 1 navy yard puget sound washington,                    mashi,puget sound,,
  04/01/1914,,,,,,,,,
  04/01/1914,,,30.6,117.2,in dry dock 1 navy yard puget sound washington,                    mashi,puget sound,,
  05/01/1914,,,,,,,,,
  05/01/1914,,,30.6,117.2,in dry dock 1 navy yard puget sound washington,                    mashi,puget sound,,
  06/01/1914,,,,,,,,,
  06/01/1914,,,30.6,117.2,in dry dock 1 navy yard puget sound washington,                    mashi,puget sound,,
  07/01/1914,,,,,,,,,
  07/01/1914,,,30.6,117.2,in dry dock 1 navy yard puget sound washington,                    mashi,puget sound,,
  08/01/1914,,,,,,,,,
  08/01/1914,,,-17.5,117.2,moored to pier 5 navy yard puget sound washington,                    mashi,puget sound,,
  09/01/1914,,,,,,,,,
  09/01/1914,,,-17.5,-149.8,moored alongside pier 5 navy yard puget sound washington,                   moorea,puget sound,,
  10/01/1914,,,,,,,,,
  10/01/1914,,,30.6,117.2,at anchor off navy yard puget sound washington,                    mashi,puget sound,,
  11/01/1914,,,,,,,,,
  11/01/1914,,,30.6,117.2,at anchor off navy yard puget sound washington,                    mashi,puget sound,,
  12/01/1914,,,,,,,,,
  12/01/1914,,,30.6,117.2,at anchor off navy yard puget sound washington,                    mashi,puget sound,,
  13/01/1914,,,,,,,,,
  13/01/1914,,,30.6,117.2,at anchor off navy yard puget sound washington,                    mashi,puget sound,,
  14/01/1914,,,,,,,,,
  14/01/1914,,,30.6,117.2,at anchor off navy yard puget sound washington,                    mashi,puget sound,,
  15/01/1914,,,,,,,,,
  15/01/1914,,,30.6,117.2,at anchor off navy yard puget sound washington,                    mashi,puget sound,,
  16/01/1914,,,,,,,,,
  16/01/1914,,,30.6,117.2,at anchor off navy yard puget sound washington,                    mashi,puget sound,,
  17/01/1914,,,,,,,,,
  17/01/1914,,,47.3,-122.4,at anchor off tacoma commencement bay washington,                   tacoma,,,
  18/01/1914,,,,,,,,,
  18/01/1914,,,47.3,-122.4,     at anchor off tacoma,                   tacoma,,,
  19/01/1914,,,,,,,,,
  19/01/1914,,,47.3,-122.4,at anchor off tacoma washington,                   tacoma,,,
  20/01/1914,,,,,,,,,
  20/01/1914,,,47.3,-122.4,     at anchor off tacoma,                   tacoma,,,
  21/01/1914,,,,,,,,,
  21/01/1914,,,47.3,-122.4,at anchor off tacoma washington,                   tacoma,,,
  22/01/1914,,,,,,,,,
  22/01/1914,,,47.3,-122.4,off tacoma  commencement bay,                   tacoma,,,
  23/01/1914,,,,,,,,,
  23/01/1914,,,47.3,-122.4,off tacoma  commencement bay,                   tacoma,,,
  24/01/1914,,,,,,,,,
  24/01/1914,,,47.3,-122.4,off tacoma  commencement bay,                   tacoma,,,
  25/01/1914,,,,,,,,,
  25/01/1914,,,47.3,-122.4,off tacoma  commencement bay,                   tacoma,,,
  26/01/1914,,,,,,,,,
  26/01/1914,,,47.3,-122.4,off tacoma  commencement bay,                   tacoma,,,
