  01/01/1917,        NA,        NA_2,47.6,-122.3,       seattle washington,                  seattle,h,i,j
  01/01/1917,,,,,,,,,
  02/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
    2/1/1916,,,,,,,,,
  03/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  03/01/1917,,,,,,,,,
  04/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  04/01/1917,,,,,,,,,
  05/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  05/01/1917,,,,,,,,,
  06/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  06/01/1917,,,,,,,,,
  07/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  07/01/1917,,,,,,,,,
  08/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  08/01/1917,,,,,,,,,
  09/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  09/01/1917,,,,,,,,,
  10/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  10/01/1917,,,,,,,,,
  11/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  11/01/1917,,,,,,,,,
  12/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  12/01/1917,,,,,,,,,
  13/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  13/01/1917,,,,,,,,,
  14/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  14/01/1917,,,,,,,,,
  15/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  15/01/1917,,,,,,,,,
  16/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  16/01/1917,,,,,,,,,
  17/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  17/01/1917,,,,,,,,,
  18/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  18/01/1917,,,,,,,,,
  19/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  19/01/1917,,,,,,,,,
  20/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  20/01/1917,,,,,,,,,
  21/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  21/01/1917,,,,,,,,,
  22/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  22/01/1917,,,,,,,,,
  23/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  23/01/1917,,,,,,,,,
  24/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  24/01/1917,,,,,,,,,
  25/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  25/01/1917,,,,,,,,,
  26/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  26/01/1917,,,,,,,,,
  27/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  27/01/1917,,,,,,,,,
  28/01/1917,,,47.6,-122.3,moored to dock at west seattle washington,                  seattle,,,
  28/01/1917,,,47.6,-122.3,  west seattle washington,                  seattle,,,
  29/01/1917,,,47.6,-122.3,moored to dock at west seattle washington,                  seattle,,,
  29/01/1917,,,,,,,,,
  30/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  30/01/1917,,,,,,,,,
  31/01/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  31/01/1917,,,,,,,,,
  31/01/1917,,,,,,,,,
  31/01/1917,,,,,,,,,
  31/01/1917,,,,,,,,,
  31/01/1917,,,,,,,,,
  31/01/1917,,,,,,,,,
  31/01/1917,,,,,,,,,
  31/01/1917,,,,,,,,,
  31/01/1917,,,,,,,,,
