  01/01/1921,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  02/01/1921,,,,,,,,,
  02/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  03/01/1921,,,,,,,,,
  03/01/1921,,,37.8,-122.4,          sausalito calif,        san francisco bay,,,
  04/01/1921,,,37.8,-122.4,stood across san francisco bay to sausalito,        san francisco bay,,,
  04/01/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  05/01/1921,,,,,,,,,
  05/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  06/01/1920,,,,,,,,,
  06/01/1920,,,37.8,-122.3,     sausalito california,                sausalito,,,
  07/01/1921,,,,,,,,,
  07/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  08/01/1921,,,,,,,,,
  08/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  09/01/1921,,,,,,,,,
  09/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  10/01/1921,,,,,,,,,
  10/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  11/01/1921,,,,,,,,,
  11/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  12/01/1921,,,,,,,,,
  12/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  13/01/1921,,,,,,,,,
  13/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  14/01/1921,,,,,,,,,
  14/01/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  15/01/1921,,,,,,,,,
  15/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  16/01/1920,,,,,,,,,
  16/01/1920,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  17/01/1921,,,,,,,,,
  17/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  18/01/1921,,,,,,,,,
  18/01/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  19/01/1921,,,,,,,,,
  19/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  20/01/1921,,,,,,,,,
  20/01/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  21/01/1921,,,,,,,,,
  21/01/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  22/01/1921,,,,,,,,,
  22/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  23/01/1921,,,,,,,,,
  23/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  24/01/1921,,,,,,,,,
  24/01/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  25/01/1921,,,,,,,,,
  25/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  26/01/1921,,,,,,,,,
  26/01/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  27/01/1921,,,,,,,,,
  27/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  28/01/1921,,,,,,,,,
  28/01/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  29/01/1921,,,,,,,,,
  29/01/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  30/01/1921,,,,,,,,,
  30/01/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  31/01/1921,,,,,,,,,
  31/01/1921,,,,,,,,,
  31/01/1921,,,,,,,,,
  31/01/1921,,,,,,,,,
  31/01/1921,,,,,,,,,
  31/01/1921,,,,,,,,,
  31/01/1921,,,,,,,,,
  31/01/1921,,,,,,,,,
  31/01/1921,,,,,,,,,
  31/01/1921,,,,,,,,,
  31/01/1921,,,,,,,,,
  31/01/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  01/02/1921,,,,,,,,,
  01/02/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  02/02/1921,,,,,,,,,
  02/02/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  03/02/1921,,,,,,,,,
  03/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  04/02/1921,,,37.8,-122.4,standing across san francisco bay,        san francisco bay,,,
  04/02/1921,,,37.8,-122.4,      san francisco calif,        san francisco bay,,,
  05/02/1921,,,37.8,-122.4,   anchored in drakes bay,                     bone,drakes bay,38 0 43N,122 55 9W
  05/02/1921,   38 16 N,  123 05 W,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  06/02/1921,,,30.5,117.1,     near del mar landing,                   anking,del mar landing,38 44N,123 31W
  06/02/1921,   38 21 N,  123 15 W,37.8,-122.3,anchored off del marr landing california,                sausalito,salt point,38 35N,123 20W
  07/02/1921,,,36.9,-122.3,   anchored off sausalito,                      gib,san francisco bay,37 39 17N,122 14 15W
  07/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  08/02/1921,,,,,,,,,
  08/02/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  09/02/1921,,,,,,,,,
  09/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  10/02/1921,,,,,,,,,
  10/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  11/02/1921,,,,,,,,,
  11/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  12/02/1921,,,,,,,,,
  12/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  13/02/1921,,,,,,,,,
  13/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  14/02/1921,,,,,,,,,
  14/02/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  15/02/1921,,,,,,,,,
  15/02/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  16/02/1921,,,,,,,,,
  16/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  17/02/1921,,,,,,,,,
  17/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  18/02/1921,,,,,,,,,
  18/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  19/02/1921,,,,,,,,,
  19/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  20/02/1921,,,,,,,,,
  20/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  21/02/1921,,,,,,,,,
  21/02/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  22/02/1921,,,,,,,,,
  22/02/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  23/02/1921,,,37.8,-122.4,stood across san francisco bay to alameda,        san francisco bay,,,
  23/02/1921,,,37.8,-122.3,       oakland california,                  oakland,,,
  24/02/1921,,,52.1,114.2,various courses in to sausalito harbor,                     suva,san francisco bay,,
  24/02/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  25/02/1921,,,,,,,,,
  25/02/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  26/02/1921,,,,,,,,,
  26/02/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  27/02/1921,,,,,,,,,
  27/02/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  28/02/1921,,,,,,,,,
  28/02/1921,,,,,,,,,
  28/02/1921,,,,,,,,,
  28/02/1921,,,,,,,,,
  28/02/1921,,,,,,,,,
  28/02/1921,,,,,,,,,
  28/02/1921,,,,,,,,,
  28/02/1921,,,,,,,,,
  28/02/1921,,,,,,,,,
  28/02/1921,,,,,,,,,
  28/02/1921,,,,,,,,,
  28/02/1921,,,37.8,-122.3,     sausalito california,                sausalito,,,
  01/03/1921,,,,,,,,,
  01/03/1921,,,37.8,-122.3,          sausalito calif,                sausalito,,,
  02/03/1921,,,37.8,-122.4,stood across san francisco bay to city wharf oakland cal,        san francisco bay,,,
  02/03/1921,,,37.8,-122.3,            oakland calif,                  oakland,,,
  03/03/1921,,,37.8,-122.3,unmoored ship from city wharf oakland cal and stood down stream to moores ship yard oakland cal,                  oakland,,,
