  01/01/1928,        NA,        NA_2,57,-144,through the gulf of alaska,           gulf of alaska,h,i,j
  01/01/1928,   59 28 N,  140 35 W,30,48.5,    at sea gulf of alaska,           gulf of alaska,,,
  02/01/1928,,,57,-165.8,through the gulf of alaska,           gulf of alaska,,,
  02/01/1928,,,58.3,-135.8,       off point adolphus,           point adolphus,,,
  03/01/1928,,,58.2,-136.6,through the gulf of alaska,           gulf of alaska,,,
  03/01/1928,,,,,,,,,
  03/01/1928,,,52.8,173.3,            juneau alaska,             east channel,juneau alaska,58.3014485N,134.4216125W
  03/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  04/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  04/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  05/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  05/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  06/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  06/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  07/01/1928,,,,,,,,,
  07/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  08/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  08/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  09/01/1928,,,42.2,173.3,down gastineau channel and up stephens passage,             east channel,stephens passage,57 49 01N,133 50 34W
  09/01/1928,,,57,-135.4,             sitka alaska,                    sitka,,,
  10/01/1928,,,,,,,,,
  10/01/1928,,,,,,,,,
  10/01/1928,,,57,-135.4,    entering sitka harbor,                    perim,sitka alaska,57 3 5.62N,135 20 19.11W
  10/01/1928,,,57,-135.4,             sitka alaska,                    sitka,,,
  11/01/1928,,,57,-135.4,     through peril strait,                   barrow,peril strait,57 31 52N,135 16 14W
  11/01/1928,,,42.2,41.7,          off point hilda,                     poti,douglas island,58 16 14N,134 30 21W
  12/01/1928,,,52.2,41.7,    out of admiralty cove,               idle point,stephens passage,,
  12/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  17/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  17/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  18/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  18/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  19/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  19/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  20/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  20/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  21/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  21/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  22/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  22/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  23/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  23/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  24/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  24/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  25/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  25/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  26/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  26/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  27/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  27/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  28/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  28/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  29/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  29/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  30/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  30/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  31/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
