  01/01/1929,        NA,        NA_2,60.5,-145.8,           cordova alaska,                  cordova,cordova alaska,60 32 37N,145 45 07W
  01/01/1929,   59 58 N,  145 41 W,60.5,-145.8,           cordova alaska,                  cordova,cordova alaska,,
  02/01/1929,,,60.5,-146.6,through the gulf of alaska,           gulf of alaska,,,
  02/01/1929,   59 17 N,  141 39 W,57,-144,           gulf of alaska,           gulf of alaska,,,
  03/01/1929,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  03/01/1929,   58 13 N,  137 04 W,57,-144,           gulf of alaska,           gulf of alaska,,,
  04/01/1929,,,57,-144,through the gulf of alaska,           gulf of alaska,cross sound,58 10 40N,136 30 36W
  04/01/1929,,,42.2,41.7,        inian cove alaska,                     poti,cross sound,,
  05/01/1929,,,58.3,-127.7,        inian cove alaska,               icy strait,,,
  05/01/1929,,,,,,,,,
  05/01/1929,,,,,,,,,
  05/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,58.3014485N,134.4216125W
  06/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  06/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  07/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  07/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  08/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  08/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  09/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  09/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  12/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  12/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  17/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  17/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  18/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  18/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  19/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  19/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  20/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  20/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  21/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  21/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  22/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  22/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  23/01/1929,,,-22.3,173.3,                 taku bay,                    nunea,taku inlet,58 20 26N,134 1 51W
  23/01/1929,     57 15,  133 59 W,43.1,16.7,       taku harbor alaska,                     hvar,taku harbor,58 04 00N,134 01 09W
  24/01/1929,,,29.9,32.6, through stephens passage,                   port t,stephens passage,57 49 01N,133 50 34W
  24/01/1929,   56 30 N,  134 34 W,29.9,32.6,    port armstrong alaska,                   port t,port alexander alaska,56 14 24N,134 39 26W
  25/01/1929,,,57,-134.6,      of turnabout island,           chatham strait,turnabout island alaska,57.1269444N,133.9827778W
  25/01/1929,,,,,,,,,
  25/01/1929,,,43.7,7.2, through stephens passage,                     nice,stephens passage,,
  25/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  26/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  26/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  27/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  27/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  28/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  28/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  29/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  29/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  30/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  30/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  31/01/1929,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  31/01/1929,,,,,,,,,
  31/01/1929,,,,,,,,,
  31/01/1929,,,,,,,,,
  31/01/1929,,,,,,,,,
  31/01/1929,,,,,,,,,
  31/01/1929,,,,,,,,,
  31/01/1929,,,,,,,,,
  31/01/1929,,,,,,,,,
