  12/01/1930,        NA,        NA_2,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,58.3014485N,134.4216125W
  12/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  17/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  17/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  18/01/1930,,,-22.3,166.4,                   juneau,                    nunea,juneau alaska,,
  18/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  19/01/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  19/01/1930,,,57.8,-134.9,      north passage point,      south passage point,chatham strait,56 57 54N,2018-02-13T01:34:00
  20/01/1930,,,52.8,48.5,through gastineau channel and stephens passage,                      fao,stephens passage,57 49 01N,2018-02-27T01:33:00
  20/01/1930,,,15.5,73.9,       olga strait alaska,                      goa,sitka sound,56 58 22N,2018-01-09T01:35:00
  21/01/1930,,,30,43.4,through peril strait and neva strait,                      fao,peril strait,57 31 52N,2017-10-10T01:35:00
  21/01/1930,,,,,,,,,
  21/01/1930,,,,,,,,,
  21/01/1930,   56 31 N,  135 18 W,57,-135.4,             sitka alaska,                    sitka,,,
  22/01/1930,,,,,,,,,
  22/01/1930,   56 03 N,  134 23 W,29.9,32.6,    port armstrong alaska,            sumner strait,chatham strait,,
  23/01/1930,,,,,,,,,
  23/01/1930,,,55.4,-131.7,       steamer bay alaska,                ketchikan,stikine strait,56 18 42N,2018-07-03T01:32:00
