  25/01/1898	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  25/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/01/1898	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  01/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  02/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  03/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  03/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  04/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  05/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  06/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  07/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  08/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  09/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  10/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  11/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  12/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  13/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  14/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  15/01/1898	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/01/1898	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
