  01/01/1902	        NA	        NA	      37.8	    -122.3	     sansalito california	                sausalito	
  02/01/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  03/01/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  04/01/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  05/01/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  06/01/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  07/01/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  08/01/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  09/01/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  10/01/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  11/01/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  15/01/1902	        NA	        NA	      32.7	    -117.2	                   at sea	            san diego usa	
  16/01/1902	        NA	        NA	      32.7	    -117.2	            san diego cal	            san diego usa	
  17/01/1902	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  22/01/1902	        NA	        NA	      32.7	    -117.2	                   at sea	                san diego	
  23/01/1902	        NA	        NA	      32.7	    -117.2	            san diego cal	            san diego usa	
  24/01/1902	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  25/01/1902	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  30/01/1902	        NA	        NA	      32.7	    -117.2	                   at sea	            san diego usa	
  07/02/1902	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  08/02/1902	        NA	        NA	      32.7	    -117.2	                   at sea	                san diego	
  09/02/1902	        NA	        NA	      32.7	    -117.2	            san diego cal	            san diego usa	
  10/02/1902	        NA	        NA	      32.7	    -117.2	            san diego cal	            san diego usa	
  11/02/1902	        NA	        NA	      32.7	    -117.2	            san diego cal	            san diego usa	
  12/02/1902	        NA	        NA	      32.7	    -117.2	            san diego cal	            san diego usa	
  15/02/1902	        NA	        NA	      37.8	    -122.4	                   at sea	        san francisco bay	
  16/02/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  17/02/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  18/02/1902	        NA	        NA	      37.8	    -122.3	            sausalito cal	                sausalito	
  19/02/1902	        NA	        NA	      37.8	    -122.4	 san francisco california	        san francisco bay	
  20/02/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  21/02/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  22/02/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  23/02/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
