  01/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  01/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  02/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  03/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  03/01/1918	        NA	        NA	      33.7	    -118.3	          san pedro calif	          san pedro calif	
  03/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  03/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  03/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  04/01/1918	        NA	        NA	      33.7	    -118.3	          san pedro calif	          san pedro calif	
  04/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  05/01/1918	        NA	        NA	      33.7	    -118.3	          san pedro calif	          san pedro calif	
  05/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  06/01/1918	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  06/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  07/01/1918	        NA	        NA	      33.7	    -118.3	          san pedro calif	          san pedro calif	
  07/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  08/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  08/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  09/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  09/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  10/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  10/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  11/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  12/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  12/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  13/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  14/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  14/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  15/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  15/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  16/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  16/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  16/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  17/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  17/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  18/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  18/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  19/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
  19/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  20/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  21/01/1918	        NA	        NA	        NA	        NA	san pedro light nwxw 8 miles	                       NA	
  21/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  22/01/1918	        NA	        NA	        NA	        NA	san pedro light w14s 3 miles	                       NA	
  22/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/01/1918	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/01/1918	        NA	        NA	      33.7	    -118.3	     san pedro california	          san pedro calif	
  23/01/1918	        NA	        NA	      33.7	    -118.3	            san pedro cal	          san pedro calif	
