  01/05/1881	        NA	        NA	      37.8	    -122.4	        san francisco bay	        san francisco bay	
  02/05/1881	        NA	        NA	      37.8	    -122.4	         san francisco ca	        san francisco bay	
  03/05/1881	        NA	        NA	      37.8	    -122.4	            san francisco	            san francisco	
  04/05/1881	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/05/1881	        NA	        NA	      37.8	    -122.4	            san francisco	            san francisco	
  05/05/1881	   38 47 N	  125 39 W	        NA	        NA	                   at sea	                       NA	
  05/05/1881	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  06/05/1881	   39 33 N	  129 25 W	        NA	        NA	                   at sea	                       NA	
  06/05/1881	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  07/05/1881	   40 57 N	  132 16 W	        NA	        NA	                       NA	                       NA	
  07/05/1881	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  08/05/1881	   42 36 N	  136 20 W	        NA	        NA	                       NA	                       NA	
  08/05/1881	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  09/05/1881	   44 01 N	  140 18 W	        NA	        NA	                       NA	                       NA	
  09/05/1881	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  10/05/1881	   47 51 N	  147 42 W	        NA	        NA	                       NA	                       NA	
  11/05/1881	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  11/05/1881	   49 30 N	  151 52 W	        NA	        NA	                       NA	                       NA	
  12/05/1881	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  12/05/1881	   51 13 N	  155 35 W	        NA	        NA	                       NA	                       NA	
  13/05/1881	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  13/05/1881	   51 13 N	  155 35 W	        NA	        NA	                       NA	                       NA	
  13/05/1881	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  13/05/1881	   52 39 N	  159 50 W	        NA	        NA	                       NA	                       NA	
  14/05/1881	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  14/05/1881	   53 07 N	  163 49 W	        NA	        NA	                       NA	                       NA	
  15/05/1881	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  15/05/1881	   53 52 N	  166 03 W	        NA	        NA	                       NA	                       NA	
  16/05/1881	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  16/05/1881	   53 52 N	  166 25 W	        NA	        NA	                       NA	                       NA	
  17/05/1881	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/05/1881	        NA	        NA	      53.9	    -166.5	         ounalaska harbor	             unalaska bay	
  18/05/1881	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/05/1881	        NA	        NA	      53.9	    -166.5	         ounalaska harbor	             unalaska bay	
  19/05/1881	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/05/1881	        NA	        NA	      53.9	    -166.5	         ounalaska harbor	             unalaska bay	
  20/05/1881	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/05/1881	        NA	        NA	      53.9	    -166.5	         ounalaska harbor	             unalaska bay	
  21/05/1881	   54 47 N	  166 55 W	        NA	        NA	                       NA	                       NA	
  22/05/1881	        NA	        NA	      53.9	    -166.5	         ounalaska harbor	             unalaska bay	
  22/05/1881	   57 06 N	  170 30 W	        NA	        NA	                       NA	                       NA	
  23/05/1881	        NA	        NA	      57.1	    -170.3	                   at sea	           st paul island	
  23/05/1881	   58 43 N	  171 26 W	        NA	        NA	                       NA	                       NA	
  24/05/1881	   60 25 N	  175 24 W	        NA	        NA	                       NA	                       NA	
  25/05/1881	   62 07 N	  175 54 W	        NA	        NA	                       NA	                       NA	
  26/05/1881	   63 53 N	  175 41 W	        NA	        NA	                       NA	                       NA	
  27/05/1881	   63 50 N	  171 37 W	        NA	        NA	                       NA	                       NA	
  28/05/1881	   65 25 N	  170 56 W	        NA	        NA	                       NA	                       NA	
  29/05/1881	   60 47 N	  168 55 W	        NA	        NA	                       NA	                       NA	
  30/05/1881	   67 17 N	  171 45 W	        NA	        NA	                       NA	                       NA	
  31/05/1881	     67 57	    175 10	        NA	        NA	                       NA	                       NA	
  01/06/1881	   67 58 N	    175 18	        NA	        NA	                       NA	                       NA	
  02/06/1881	     66 42	    170 46	        NA	        NA	                       NA	                       NA	
  03/06/1881	   66 07 N	  169 17 W	        NA	        NA	                       NA	                       NA	
  04/06/1881	   65 35 N	  170 45 W	        NA	        NA	                       NA	                       NA	
  05/06/1881	     65 35	    170 45	        NA	        NA	                       NA	                       NA	
  06/06/1881	        NA	        NA	      65.7	    -171.1	          st lawrence bay	          st lawrence bay	
  06/06/1881	   64 42 N	  171 35 W	        NA	        NA	                       NA	                       NA	
  07/06/1881	        NA	        NA	      65.7	    -171.1	          st lawrence bay	          st lawrence bay	
  07/06/1881	     63 42	    171 78	        NA	        NA	                       NA	                       NA	
  08/06/1881	     63 52	    171 28	        NA	        NA	                       NA	                       NA	
  09/06/1881	     63 40	    171 20	        NA	        NA	                       NA	                       NA	
  10/06/1881	     63 56	    171 25	        NA	        NA	                       NA	                       NA	
  11/06/1881	   64 32 N	    173 19	        NA	        NA	                       NA	                       NA	
  12/06/1881	        NA	        NA	      64.4	    -173.3	               plover bay	               plover bay	
  12/06/1881	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/06/1881	        NA	        NA	      64.4	    -173.3	               plover bay	               plover bay	
  13/06/1881	     64 32	  173 19 W	        NA	        NA	                       NA	                       NA	
  14/06/1881	        NA	        NA	      64.4	    -173.3	               plover bay	               plover bay	
  14/06/1881	     64 32	    173 19	        NA	        NA	                       NA	                       NA	
  15/06/1881	        NA	        NA	      64.4	    -173.3	               plover bay	               plover bay	
  15/06/1881	     64 32	    173 22	        NA	        NA	                       NA	                       NA	
  16/06/1881	        NA	        NA	      64.4	    -173.3	               plover bay	               plover bay	
  16/06/1881	   64 47 N	  172 50 W	        NA	        NA	                       NA	                       NA	
  17/06/1881	        NA	        NA	      64.4	    -173.3	               plover bay	               plover bay	
  17/06/1881	     63 41	    167 36	        NA	        NA	                       NA	                       NA	
  18/06/1881	     63 28	    161 58	        NA	        NA	                       NA	                       NA	
  19/06/1881	     63 28	    161 58	        NA	        NA	                       NA	                       NA	
  20/06/1881	   63 28 N	    161 58	        NA	        NA	                       NA	                       NA	
  21/06/1881	     63 53	    165 20	        NA	        NA	                       NA	                       NA	
  22/06/1881	     63 05	    171 01	        NA	        NA	                       NA	                       NA	
  23/06/1881	   63 22 N	  171 32 W	        NA	        NA	                       NA	                       NA	
  24/06/1881	   63 24 N	  171 29 W	        NA	        NA	                       NA	                       NA	
  25/06/1881	   64 32 N	  173 19 W	        NA	        NA	                       NA	                       NA	
  26/06/1881	   65 26 N	  171 15 W	        NA	        NA	                       NA	                       NA	
  27/06/1881	   65 55 N	  169 16 W	        NA	        NA	                       NA	                       NA	
  28/06/1881	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/06/1881	   66 02 N	  169 37 W	        NA	        NA	                       NA	                       NA	
  30/06/1881	   66 02 N	  169 37 W	        NA	        NA	                       NA	                       NA	
  01/07/1881	        NA	        NA	      63.1	    -168.9	                east cape	                east cape	
  01/07/1881	   64 22 N	  172 58 W	        NA	        NA	                       NA	                       NA	
  04/07/1881	   63 28 N	  161 58 W	        NA	        NA	                       NA	                       NA	
  05/07/1881	   63 28 N	  161 58 W	        NA	        NA	                       NA	                       NA	
  06/07/1881	   63 28 N	  161 58 W	        NA	        NA	                       NA	                       NA	
  07/07/1881	   63 28 N	  161 58 W	        NA	        NA	                       NA	                       NA	
  08/07/1881	   63 28 N	  161 58 W	        NA	        NA	                       NA	                       NA	
  09/07/1881	   64 21 N	  163 65 W	        NA	        NA	                       NA	                       NA	
  10/07/1881	   64 25 N	  164 02 W	        NA	        NA	                       NA	                       NA	
  11/07/1881	   65 12 N	  168 01 W	        NA	        NA	                       NA	                       NA	
  12/07/1881	   66 48 N	  164 44 W	        NA	        NA	                       NA	                       NA	
  13/07/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  13/07/1881	   66 05 N	  161 45 W	        NA	        NA	                       NA	                       NA	
  14/07/1881	        NA	        NA	      66.5	    -162.8	           kotzebue sound	           kotzebue sound	
  14/07/1881	   66 32 N	  162 08 W	        NA	        NA	                       NA	                       NA	
  15/07/1881	        NA	        NA	      66.5	    -162.8	           kotzebue sound	           kotzebue sound	
  15/07/1881	   67 01 N	  162 58 W	        NA	        NA	                       NA	                       NA	
  16/07/1881	   67 21 N	  163 55 W	        NA	        NA	                       NA	                       NA	
  17/07/1881	   68 16 N	  166 28 W	        NA	        NA	                       NA	                       NA	
  18/07/1881	   68 05 N	  161 37 W	        NA	        NA	                       NA	                       NA	
  19/07/1881	        NA	        NA	      68.3	    -166.8	           off point hope	               point hope	
  19/07/1881	   68 21 N	  166 28 W	        NA	        NA	                       NA	                       NA	
  20/07/1881	   70 05 N	  162 29 W	        NA	        NA	                       NA	                       NA	
  21/07/1881	   70 04 N	  162 35 W	        NA	        NA	                       NA	                       NA	
  22/07/1881	   70 14 N	  161 55 W	        NA	        NA	                       NA	                       NA	
  23/07/1881	        NA	        NA	      70.3	    -161.9	   at anchor off icy cape	                 icy cape	
  23/07/1881	   70 05 N	  162 10 W	        NA	        NA	                       NA	                       NA	
  24/07/1881	   69 58 N	  162 15 W	        NA	        NA	                       NA	                       NA	
  25/07/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  25/07/1881	   69 57 N	  162 38 W	        NA	        NA	                       NA	                       NA	
  26/07/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  26/07/1881	   68 50 N	  165 10 W	        NA	        NA	                       NA	                       NA	
  27/07/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  27/07/1881	   68 50 N	  165 10 W	        NA	        NA	                       NA	                       NA	
  28/07/1881	        NA	        NA	      68.9	    -165.1	off coal mine arctic ocean	                coal mine	
  28/07/1881	   69 38 N	  169 14 W	        NA	        NA	                       NA	                       NA	
  29/07/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  29/07/1881	   70 48 N	  174 41 W	        NA	        NA	                       NA	                       NA	
  30/07/1881	   70 50 N	  175 40 W	        NA	        NA	                       NA	                       NA	
  31/07/1881	   70 15 N	  178 20 W	        NA	        NA	                       NA	                       NA	
  01/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  01/08/1881	   70 35 N	  179 19 W	        NA	        NA	                       NA	                       NA	
  02/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  02/08/1881	   70 23 N	  179 15 W	        NA	        NA	                       NA	                       NA	
  03/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  03/08/1881	   69 10 N	  179 05 W	        NA	        NA	                       NA	                       NA	
  04/08/1881	        NA	        NA	        NA	        NA	             arctic ocean	                       NA	
  04/08/1881	   68 03 N	  175 40 W	        NA	        NA	                       NA	                       NA	
  05/08/1881	        NA	        NA	      67.8	    -175.8	             arctic ocean	            cape vankarem	
  05/08/1881	   67 52 N	  175 18 W	        NA	        NA	                       NA	                       NA	
  06/08/1881	        NA	        NA	      67.8	    -175.8	            cape wanharem	            cape vankarem	
