  16/03/1876,        NA,        NA,38.1,-122.3,              mare island,              mare island,
  16/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  17/03/1876,        NA,        NA,38.1,-122.3,              mare island,              mare island,
  17/03/1876,        NA,        NA,37.8,-122.4,towing down from mare island to san francisco,            san francisco,
  18/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  18/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  19/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  19/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  20/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  20/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  21/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  21/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  22/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  22/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  23/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  23/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  24/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  24/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  25/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  25/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  26/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  26/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  27/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  27/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  28/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  28/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  29/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  29/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  30/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  30/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  31/03/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  31/03/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  01/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  01/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  02/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  02/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  03/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  03/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  04/04/1876,        NA,        NA,37.8,-122.4,            san francisco,            san francisco,
  04/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  05/04/1876,        NA,        NA,37.8,-122.4,            san francisco,            san francisco,
  05/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  06/04/1876,        NA,        NA,37.8,-122.4,            san francisco,            san francisco,
  06/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  07/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  07/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  08/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  08/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  09/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  09/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  10/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  10/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  11/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  11/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  12/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  12/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  13/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  13/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  14/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  14/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  15/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  15/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  16/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  16/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  17/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  17/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  18/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  18/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  19/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  19/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  20/04/1876,        NA,        NA,37.8,-122.4,            san francisco,            san francisco,
  20/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  21/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  21/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  22/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  22/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  23/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  23/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  24/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  24/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  25/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  25/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
