  19/05/1895,        NA,        NA,22.6,59.5,brid rocks rosario straits bearing ssw 1 mile,                      sur,rosario strait,48.5N,122.75W
  19/05/1895,        NA,        NA,22.6,59.5,     cape flattery lt 895,                      sur,cape flattery,48 22 59N,124 42 52W
  19/05/1895,        NA,        NA,30.6,117.2,   new whatcom washington,                    mashi,cape flattery light,48.3917N,124.7366W
  20/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  20/05/1895,        NA,        NA,48.1,-1.5,         new whatcom wash,                      tic,new whatcom,48.750178N,122.474975W
  21/05/1895,        NA,        NA,19.6,-70.2,                pt wilson,                      sur,bellingham,48.750178N,122.474975W
  21/05/1895,        NA,        NA,48.1,-122.8,       port townsend wash,            port townsend,,,
  22/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  22/05/1895,   48 24 N,  124 13 W,48.1,-122.8, port townsend washington,            port townsend,,,
  23/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/05/1895,     49 47,    129 02,        NA,        NA,                       NA,                       NA,,,
  24/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/05/1895,   52 40 N,  132 43 W,        NA,        NA,                   at sea,                       NA,,,
  25/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/05/1895,   55 59 N,  135 37 W,        NA,        NA,                   at sea,                       NA,,,
  26/05/1895,        NA,        NA,57,-135.4,             sitka harbor,                    sitka,,,
  26/05/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  27/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/05/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  28/05/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  28/05/1895,     sitka,    alaska,57,-135.4,             sitka alaska,                    sitka,,,
  29/05/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  29/05/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
   30/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/05/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
   31/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   31/05/1895,   56 30 N,  140 20 W,        NA,        NA,                   at sea,                       NA,,,
  01/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/06/1895,   56 10 N,  147 22 W,        NA,        NA,                   at sea,                       NA,,,
    02/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    02/06/1895,   56 05 N,  154 48 W,        NA,        NA,                   at sea,                       NA,,,
  03/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/06/1895,   54 28 N,  159 50 W,        NA,        NA,                   at sea,                       NA,,,
  04/06/1895,   54 28 N,  159 50 W,        NA,        NA,                   at sea,                       NA,,,
  05/06/1895,   53 35 N,  162 34 W,        NA,        NA,                   at sea,                       NA,,,
