          NA	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  01/06/1890	        NA	        NA	      37.8	    -122.4	            san francisco	            san francisco	
  01/06/1890	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  02/06/1890	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  02/06/1890	     37 47	    122 18	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  03/06/1890	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  03/06/1890	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  04/06/1890	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  05/06/1890	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  05/06/1890	   39 44 N	  124 15 W	        NA	        NA	                       NA	                       NA	
  09/06/1890	        NA	        NA	      47.6	    -122.3	                   at sea	                  seattle	
  09/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  10/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  10/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  11/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  11/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  12/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  12/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  13/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  13/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  14/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  14/06/1890	        NA	        NA	      47.3	    -122.4	        tacoma washington	                   tacoma	
  15/06/1890	        NA	        NA	      47.3	    -122.4	        tacoma washington	                   tacoma	
  15/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  16/06/1890	        NA	        NA	      47.3	    -122.4	        tacoma washington	                   tacoma	
  16/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  17/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  17/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  18/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  18/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  19/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  19/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  20/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  20/06/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
